고객번호,가구류구매횟수,가구류1,가구류2,가구류3,가구류4,가구류5,가구류6,가구류7
1,16.0,174817.0,0.0,72127.0,4173806.0,86471.0,527324.0,0.0
2,15.0,497341.0,57479.0,0.0,34587.0,79007.0,0.0,327631.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6.0,0.0,0.0,112981.0,285472.0,0.0,0.0,83004.0
6,8.0,0.0,87557.0,0.0,87797.0,968880.0,0.0,25340.0
7,13.0,0.0,191906.0,847356.0,13746.0,0.0,1915201.0,72754.0
8,1.0,0.0,0.0,0.0,0.0,56687.0,0.0,0.0
9,6.0,0.0,0.0,0.0,0.0,11304643.0,5021289.0,1134676.0
10,4.0,0.0,0.0,6214.0,7006.0,0.0,83642.0,0.0
11,13.0,583545.0,5926097.0,488416.0,4170347.0,0.0,0.0,0.0
12,1.0,27357.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6.0,18697.0,10198.0,0.0,0.0,0.0,0.0,417718.0
14,8.0,213639.0,30284.0,0.0,0.0,94157.0,41821.0,0.0
15,2.0,0.0,0.0,0.0,0.0,0.0,0.0,115551.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,0.0,0.0,0.0,0.0,68267.0,93615.0,0.0
18,1.0,0.0,1037400.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0,0.0,504667.0,0.0,0.0
21,5.0,0.0,153895.0,0.0,17559.0,0.0,8900.0,87846.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4.0,0.0,0.0,160998.0,44164.0,14412.0,0.0,95009.0
24,5.0,140129.0,0.0,0.0,25364.0,0.0,14906.0,207113.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,17.0,0.0,0.0,0.0,21826367.0,4988062.0,1636307.0,16049.0
27,1.0,0.0,0.0,0.0,0.0,0.0,138975.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,17.0,560961.0,410026.0,383174.0,453262.0,151804.0,0.0,235912.0
30,9.0,0.0,155595.0,41860.0,40440.0,14412.0,376928.0,0.0
31,6.0,0.0,0.0,107954.0,17736.0,128746.0,53081.0,0.0
32,6.0,5904.0,6180.0,6778.0,0.0,0.0,0.0,0.0
33,3.0,26569.0,81377.0,0.0,22082.0,0.0,0.0,0.0
34,8.0,0.0,0.0,0.0,0.0,90011.0,0.0,394180.0
35,3.0,0.0,0.0,119759.0,0.0,0.0,0.0,87846.0
36,7.0,1093994.0,2719067.0,0.0,0.0,0.0,89755.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,8.0,0.0,62012.0,28132.0,17737.0,169503.0,0.0,44937.0
39,1.0,126205.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.0,0.0,0.0,0.0,0.0,0.0,506145.0,0.0
41,1.0,0.0,0.0,0.0,0.0,1011357.0,0.0,0.0
42,7.0,49498.0,0.0,0.0,5942.0,90921.0,7185.0,39080.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,5.0,0.0,0.0,0.0,1695116.0,0.0,0.0,0.0
45,1.0,119661.0,0.0,0.0,0.0,0.0,0.0,0.0
46,5.0,129945.0,0.0,0.0,383335.0,0.0,254359.0,0.0
47,2.0,0.0,0.0,13219.0,83407.0,0.0,0.0,0.0
48,18.0,226381.0,29357.0,94452.0,0.0,98607.0,4997515.0,892593.0
49,13.0,2050122.0,0.0,169584.0,0.0,1600462.0,434030.0,208296.0
50,18.0,170783.0,122580.0,133883.0,555337.0,64625.0,91042.0,73824.0
51,16.0,68884.0,26782.0,10055.0,51436.0,269020.0,122247.0,32435.0
