고객번호,기타구매횟수,기타1,기타2,기타3,기타4,기타5,기타6
1,45.0,116561.0,58509.0,245847.0,102606.0,241686.0,118225.0
2,12.0,380141.0,35847.0,218618.0,0.0,34184.0,37532.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,38.0,12793.0,89617.0,86770.0,26605.0,160907.0,148518.0
6,47.0,149086.0,101257.0,99309.0,77598.0,85965.0,87932.0
7,59.0,203975.0,211414.0,173729.0,103847.0,127836.0,39162.0
8,53.0,375517.0,169037.0,471243.0,308938.0,428107.0,95007.0
9,5.0,12694.0,0.0,0.0,0.0,487576.0,575224.0
10,17.0,4428.0,118048.0,101661.0,0.0,82627.0,32760.0
11,14.0,142639.0,66059.0,260567.0,74051.0,28348.0,45918.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,76.0,35132.0,71024.0,64908.0,76004.0,217081.0,209742.0
14,78.0,18501.0,394010.0,349223.0,474634.0,663550.0,690480.0
15,12.0,0.0,6799.0,38639.0,43544.0,45410.0,17587.0
16,3.0,0.0,0.0,0.0,26428.0,0.0,23055.0
17,24.0,485435.0,5001769.0,44966.0,3991.0,0.0,149152.0
18,39.0,282375.0,678528.0,158557.0,25275.0,388936.0,289425.0
19,2.0,0.0,36877.0,0.0,0.0,0.0,0.0
20,10.0,17221.0,25752.0,0.0,31394.0,10619.0,10723.0
21,24.0,0.0,0.0,0.0,86287.0,18609.0,222726.0
22,113.0,130092.0,270377.0,438591.0,1207634.0,1687737.0,1523074.0
23,60.0,278488.0,143748.0,136707.0,473569.0,340325.0,230018.0
24,33.0,0.0,122580.0,72138.0,89924.0,25790.0,135761.0
25,53.0,126155.0,97849.0,492653.0,144217.0,324542.0,106483.0
26,48.0,217724.0,108984.0,160433.0,142250.0,121464.0,315803.0
27,9.0,33458.0,103008.0,15817.0,17293.0,19216.0,0.0
28,10.0,0.0,0.0,0.0,17736.0,2528.0,2681.0
29,17.0,40493.0,77308.0,176859.0,76649.0,101792.0,0.0
30,24.0,0.0,32963.0,301658.0,182687.0,184067.0,131577.0
31,39.0,31096.0,187578.0,293412.0,116975.0,171100.0,272698.0
32,37.0,32966.0,44910.0,168905.0,11529.0,28825.0,37855.0
33,8.0,130191.0,0.0,0.0,7449.0,7990.0,14906.0
34,33.0,130882.0,78288.0,45192.0,17737.0,48040.0,405130.0
35,43.0,406098.0,592814.0,262556.0,105853.0,435915.0,191414.0
36,15.0,0.0,88999.0,135352.0,183044.0,191045.0,306903.0
37,59.0,19681.0,132880.0,375956.0,504700.0,483701.0,362237.0
38,67.0,147413.0,243459.0,244604.0,164863.0,221587.0,345080.0
39,49.0,6888.0,127730.0,227091.0,116619.0,154132.0,70775.0
40,10.0,0.0,52533.0,67789.0,21284.0,0.0,15013.0
41,158.0,1135106.0,793062.0,691330.0,746447.0,998616.0,740343.0
42,5.0,0.0,12360.0,0.0,3015.0,0.0,9437.0
