고객번호,기호품구매횟수,기호품1,기호품2,기호품3,기호품4,기호품5,기호품6
1,24.0,159810.0,48403.0,17060.0,27005.0,44136.0,34102.0
2,27.0,25192.0,227031.0,212291.0,116532.0,16183.0,5362.0
3,424.0,155182.0,143226.0,160975.0,103741.0,88503.0,103819.0
4,29.0,8856.0,63350.0,48514.0,7982.0,21744.0,51365.0
6,15.0,12399.0,42747.0,6949.0,8868.0,2832.0,0.0
7,19.0,72821.0,38731.0,11275.0,44254.0,8091.0,67397.0
8,62.0,13992.0,43653.0,174273.0,27359.0,82465.0,13296.0
9,24.0,21138.0,65102.0,95693.0,14189.0,15170.0,6005.0
10,27.0,30948.0,20395.0,10055.0,39642.0,20784.0,2681.0
11,44.0,246161.0,645143.0,104056.0,673062.0,532834.0,465373.0
12,19.0,140327.0,0.0,35363.0,138435.0,30089.0,36190.0
13,55.0,16778.0,59858.0,35826.0,23705.0,60195.0,34774.0
14,14.0,45345.0,41667.0,27625.0,4434.0,10012.0,0.0
15,20.0,20173.0,2565.0,6915.0,40076.0,32222.0,32234.0
16,1.0,0.0,0.0,0.0,0.0,0.0,4826.0
17,15.0,52056.0,9476.0,33883.0,26117.0,26154.0,243454.0
18,44.0,84393.0,108552.0,53642.0,36360.0,89706.0,100799.0
19,13.0,53138.0,9271.0,2260.0,887.0,5481.0,3217.0
20,31.0,9841.0,15348.0,170035.0,6208.0,13652.0,53497.0
21,88.0,83803.0,144853.0,109242.0,67106.0,86692.0,218608.0
22,14.0,41517.0,11382.0,21805.0,7733.0,54239.0,18252.0
23,30.0,83154.0,19366.0,0.0,65219.0,163132.0,22304.0
24,9.0,64809.0,51896.0,0.0,0.0,22149.0,46539.0
25,13.0,15252.0,32860.0,0.0,22260.0,24575.0,0.0
26,19.0,27259.0,36466.0,55043.0,26605.0,7079.0,24417.0
27,9.0,4920.0,35538.0,82521.0,0.0,23848.0,0.0
28,3.0,0.0,9270.0,0.0,0.0,0.0,0.0
29,16.0,13777.0,38402.0,16224.0,53121.0,57324.0,32031.0
30,18.0,6396.0,7931.0,2146.0,11707.0,30644.0,18016.0
31,86.0,64060.0,58404.0,32764.0,54542.0,24778.0,75280.0
32,47.0,66028.0,32962.0,72478.0,79859.0,41164.0,16621.0
33,160.0,124624.0,56192.0,98566.0,63162.0,123274.0,95356.0
34,41.0,176443.0,82346.0,22596.0,124204.0,34386.0,8579.0
35,12.0,3917.0,36743.0,7908.0,10997.0,14564.0,7560.0
36,42.0,115480.0,171199.0,17490.0,31039.0,109732.0,260148.0
37,117.0,86005.0,586738.0,599589.0,171247.0,366614.0,189910.0
38,184.0,365685.0,248026.0,322628.0,473458.0,344597.0,296866.0
39,13.0,6888.0,5150.0,32764.0,7982.0,39038.0,39998.0
40,4.0,0.0,0.0,5649.0,17205.0,0.0,17157.0
41,18.0,34442.0,41297.0,3491.0,29177.0,20915.0,87932.0
42,70.0,12733.0,50504.0,69504.0,29984.0,41206.0,45326.0
43,16.0,46131.0,8076.0,2938.0,1419.0,3843.0,18015.0
44,5.0,0.0,0.0,9603.0,0.0,20227.0,28985.0
45,8.0,37492.0,0.0,247202.0,8869.0,0.0,5576.0
46,9.0,0.0,30181.0,3706.0,0.0,64929.0,80190.0
47,16.0,19740.0,22177.0,39532.0,6686.0,0.0,10767.0
48,26.0,162171.0,94768.0,253190.0,110677.0,119846.0,169429.0
49,12.0,18697.0,48928.0,10168.0,10642.0,37420.0,0.0
50,18.0,135308.0,42955.0,11298.0,2971.0,3934.0,23377.0
51,38.0,27888.0,39431.0,5333.0,46195.0,64827.0,61767.0
52,17.0,4920.0,46973.0,11546.0,11139.0,23585.0,3217.0
53,19.0,19090.0,9889.0,38753.0,23413.0,2427.0,42892.0
54,103.0,16040.0,26575.0,54117.0,156525.0,103060.0,125995.0
55,17.0,41252.0,0.0,30730.0,26401.0,0.0,6948.0
56,5.0,0.0,0.0,21240.0,22614.0,0.0,0.0
57,40.0,50394.0,80706.0,25465.0,43712.0,17628.0,22626.0
58,12.0,0.0,15348.0,11298.0,15076.0,12116.0,15206.0
59,15.0,0.0,23589.0,24347.0,18997.0,20025.0,10723.0
60,35.0,41792.0,640177.0,289751.0,75452.0,8728.0,69520.0
