고객번호,기호품구매횟수,기호품1,기호품2,기호품3,기호품4,기호품5,기호품6,기호품7
1,26,159810,48403,17060,27005,44136,34102,6532
2,30,25192,227031,212291,116532,16183,5362,44824
3,467,155182,143226,160975,103741,88503,103819,63945
4,38,8856,63350,48514,7982,21744,51365,40838
6,17,12399,42747,6949,8868,2832,0,4505
7,20,72821,38731,11275,44254,8091,67397,3345
8,74,13992,43653,174273,27359,82465,13296,83410
9,30,21138,65102,95693,14189,15170,6005,161050
10,33,30948,20395,10055,39642,20784,2681,32661
11,46,246161,645143,104056,673062,532834,465373,55264
12,25,140327,0,35363,138435,30089,36190,173157
13,60,16778,59858,35826,23705,60195,34774,21917
14,15,45345,41667,27625,4434,10012,0,8548
15,29,20173,2565,6915,40076,32222,32234,59904
16,1,0,0,0,0,0,4826,0
17,19,52056,9476,33883,26117,26154,243454,99649
18,53,84393,108552,53642,36360,89706,100799,102936
19,17,53138,9271,2260,887,5481,3217,17118
20,40,9841,15348,170035,6208,13652,53497,92316
21,129,83803,144853,109242,67106,86692,218608,321855
22,18,41517,11382,21805,7733,54239,18252,45883
23,30,83154,19366,0,65219,163132,22304,0
24,13,64809,51896,0,0,22149,46539,99773
25,15,15252,32860,0,22260,24575,0,10136
26,21,27259,36466,55043,26605,7079,24417,15317
27,9,4920,35538,82521,0,23848,0,0
28,3,0,9270,0,0,0,0,0
29,17,13777,38402,16224,53121,57324,32031,28156
30,22,6396,7931,2146,11707,30644,18016,47302
31,109,64060,58404,32764,54542,24778,75280,126530
32,56,66028,32962,72478,79859,41164,16621,30411
33,189,124624,56192,98566,63162,123274,95356,127004
34,47,176443,82346,22596,124204,34386,8579,82778
35,13,3917,36743,7908,10997,14564,7560,3942
36,57,115480,171199,17490,31039,109732,260148,123545
37,148,86005,586738,599589,171247,366614,189910,366296
38,221,365685,248026,322628,473458,344597,296866,459234
39,16,6888,5150,32764,7982,39038,39998,48428
40,5,0,0,5649,17205,0,17157,36940
41,22,34442,41297,3491,29177,20915,87932,137400
42,81,12733,50504,69504,29984,41206,45326,42175
43,16,46131,8076,2938,1419,3843,18015,0
44,8,0,0,9603,0,20227,28985,80841
45,9,37492,0,247202,8869,0,5576,3942
46,10,0,30181,3706,0,64929,80190,13515
47,17,19740,22177,39532,6686,0,10767,6284
48,42,162171,94768,253190,110677,119846,169429,426501
49,13,18697,48928,10168,10642,37420,0,16893
50,21,135308,42955,11298,2971,3934,23377,9573
51,45,27888,39431,5333,46195,64827,61767,59442
52,18,4920,46973,11546,11139,23585,3217,11262
53,20,19090,9889,38753,23413,2427,42892,10812
54,149,16040,26575,54117,156525,103060,125995,202280
55,19,41252,0,30730,26401,0,6948,7298
56,7,0,0,21240,22614,0,0,15655
57,49,50394,80706,25465,43712,17628,22626,52471
58,17,0,15348,11298,15076,12116,15206,22581
59,18,0,23589,24347,18997,20025,10723,33674
60,47,41792,640177,289751,75452,8728,69520,460460
61,13,20271,1112,29150,11883,15009,0,15655
62,19,0,79522,65235,110366,26447,0,42009
63,12,20075,30387,28245,0,0,3217,0
64,62,47828,66899,13896,52898,59097,18102,0
65,32,22633,204163,31635,28822,20936,27989,62224
66,75,75642,113876,113885,107712,62706,31741,123322
67,22,21551,19469,31273,10997,22755,32052,56514
68,31,29620,33673,62297,26383,7019,22991,63453
69,107,41662,50863,77492,58610,51479,69006,71741
70,39,73291,65412,45633,47022,89121,0,3379
71,22,3100,5758,15252,29560,31564,24396,29664
72,26,8266,3441,77053,57769,57424,31580,46389
