고객번호,레저취미구매횟수,레저취미1,레저취미2,레저취미3,레저취미4,레저취미5,레저취미6,레저취미7
1,12.0,631026.0,1479614.0,0.0,0.0,129858.0,0.0,126250.0
2,33.0,2159341.0,1556235.0,2560100.0,418240.0,1886172.0,689118.0,1319287.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,7.0,0.0,127936.0,370973.0,0.0,0.0,0.0,92936.0
6,6.0,0.0,0.0,0.0,2554.0,0.0,0.0,20035.0
7,11.0,129945.0,732186.0,115918.0,9755.0,194181.0,0.0,117353.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.0,864277.0,0.0,0.0,0.0,180022.0,324940.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3.0,0.0,0.0,37566.0,414153.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0,0.0,14906.0,0.0
13,6.0,0.0,40173.0,0.0,1596.0,1315.0,2413.0,991.0
14,27.0,614179.0,516074.0,285842.0,96665.0,79897.0,713107.0,0.0
15,5.0,34442.0,48414.0,22370.0,0.0,0.0,0.0,1464.0
16,1.0,0.0,0.0,55361.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0,0.0,52212.0,0.0
18,5.0,0.0,850181.0,467741.0,0.0,0.0,0.0,0.0
19,9.0,320763.0,10301.0,0.0,994675.0,0.0,573187.0,125958.0
20,7.0,0.0,214258.0,0.0,0.0,10114.0,0.0,278179.0
21,10.0,0.0,100948.0,0.0,1774.0,2832.0,84715.0,68250.0
22,2.0,0.0,0.0,0.0,0.0,312307.0,0.0,0.0
23,62.0,1387320.0,3347761.0,1798080.0,3201867.0,1972692.0,866236.0,2436213.0
24,24.0,359771.0,141121.0,164952.0,322808.0,424770.0,21447.0,253289.0
25,3.0,0.0,0.0,0.0,0.0,0.0,105197.0,0.0
26,19.0,0.0,704580.0,116348.0,913086.0,1320123.0,1108993.0,1786052.0
27,3.0,211139.0,0.0,0.0,150851.0,0.0,38122.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,92.0,2029859.0,2979453.0,2890997.0,2444609.0,391040.0,4007638.0,2646525.0
30,2.0,495471.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,10.0,0.0,182995.0,0.0,7982.0,9102.0,41608.0,10136.0
33,3.0,11809.0,0.0,0.0,0.0,0.0,0.0,4843.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,6.0,723281.0,0.0,0.0,67400.0,6877.0,18015.0,45725.0
36,1.0,0.0,0.0,166432.0,0.0,0.0,0.0,0.0
37,11.0,0.0,164402.0,0.0,3478172.0,0.0,147983.0,1814299.0
38,10.0,33360.0,14421.0,0.0,8602.0,1011.0,13404.0,4955.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,24.0,92502.0,0.0,66659.0,78928.0,2068781.0,239346.0,921255.0
41,6.0,0.0,696751.0,0.0,0.0,0.0,0.0,0.0
42,3.0,0.0,0.0,16947.0,0.0,0.0,15656.0,0.0
43,2.0,0.0,0.0,0.0,0.0,0.0,6370.0,0.0
44,1.0,0.0,0.0,0.0,1596.0,0.0,0.0,0.0
45,3.0,0.0,0.0,430932.0,0.0,292272.0,1281447.0,0.0
46,3.0,0.0,0.0,175120.0,0.0,0.0,0.0,108118.0
47,12.0,70852.0,2761.0,0.0,41682.0,35397.0,193022.0,0.0
48,1.0,18697.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0,0.0,0.0,99835.0,0.0
50,17.0,85613.0,115369.0,29827.0,8780.0,99113.0,9115.0,212892.0
51,6.0,91419.0,0.0,11976.0,1330.0,0.0,274519.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,60.0,2050360.0,14308494.0,900299.0,6025076.0,1877179.0,2400597.0,737173.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,3434.0,0.0,239293.0,0.0,0.0,0.0,0.0
56,4.0,0.0,0.0,0.0,43455.0,330713.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4.0,306257.0,0.0,50807.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,15.0,23302.0,9879.0,10835.0,20822.0,19803.0,97583.0,16882.0
61,3.0,0.0,0.0,268759.0,0.0,32162.0,0.0,0.0
62,20.0,0.0,86527.0,110722.0,463728.0,1214.0,537242.0,127376.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,3.0,0.0,12722.0,0.0,6208.0,41314.0,0.0,0.0
66,15.0,0.0,0.0,13445.0,5276.0,25689.0,10133.0,11206.0
67,3.0,0.0,0.0,33894.0,1853.0,0.0,0.0,4708.0
68,36.0,673232.0,336715.0,715846.0,8691.0,1675292.0,965009.0,608.0
69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5350.0
70,9.0,0.0,0.0,147847.0,1638606.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,3.0,0.0,0.0,32764.0,33700.0,0.0,9651.0,0.0
73,65.0,3705756.0,4962307.0,1103517.0,2971930.0,2935827.0,3608418.0,2740702.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,3.0,0.0,0.0,44966.0,7175.0,0.0,0.0,0.0
78,30.0,214524.0,232264.0,672279.0,888797.0,3372774.0,0.0,727793.0
79,56.0,52647.0,307582.0,109253.0,76356.0,72415.0,107684.0,109471.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4.0,0.0,0.0,71901.0,0.0,14968.0,0.0,41727.0
82,18.0,384225.0,533327.0,763129.0,60030.0,1337803.0,525029.0,11015.0
83,10.0,0.0,140092.0,54739.0,122162.0,99113.0,257533.0,1374663.0
84,8.0,76756.0,0.0,631755.0,0.0,308464.0,226908.0,0.0
85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29282.0
86,8.0,0.0,0.0,146310.0,0.0,1315.0,54668.0,5068.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,57.0,1528927.0,3911217.0,2688492.0,5154238.0,3558865.0,90388.0,806548.0
89,2.0,0.0,0.0,0.0,0.0,95068.0,0.0,2038.0
90,15.0,0.0,54018.0,539868.0,1148044.0,0.0,616253.0,342374.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,29.0,465360.0,0.0,110721.0,97375.0,32161.0,122676.0,373739.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,16.0,0.0,0.0,387750.0,2319431.0,0.0,164926.0,3375309.0
95,3.0,0.0,0.0,0.0,0.0,2427.0,0.0,2354.0
96,15.0,1409944.0,1468851.0,50446.0,0.0,0.0,0.0,840505.0
97,55.0,5045321.0,2934974.0,1841181.0,6133748.0,2124890.0,5515351.0,16005265.0
98,1.0,0.0,0.0,0.0,0.0,0.0,29543.0,0.0
99,30.0,0.0,1008671.0,0.0,832242.0,1087785.0,2994683.0,156547.0
100,1.0,0.0,0.0,76827.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4.0,15223.0,189062.0,0.0,0.0,59670.0,0.0,0.0
103,1.0,0.0,0.0,0.0,0.0,20227.0,0.0,0.0
104,7.0,0.0,0.0,0.0,25630.0,0.0,51472.0,30746.0
105,13.0,0.0,0.0,0.0,55782.0,86876.0,86860.0,120056.0
106,96.0,7601599.0,6630428.0,2516444.0,5633584.0,1901755.0,7125680.0,7328575.0
107,9.0,0.0,0.0,0.0,105533.0,0.0,429151.0,127534.0
108,2.0,0.0,5150.0,39521.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,7.0,0.0,0.0,111625.0,77172.0,5259.0,58871.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,36.0,160293.0,0.0,700594.0,30498.0,71553.0,2313242.0,656704.0
114,8.0,52155.0,41203.0,0.0,68508.0,192158.0,42894.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1.0,0.0,0.0,0.0,2040.0,0.0,0.0,0.0
117,5.0,0.0,362889.0,197265.0,33700.0,0.0,0.0,0.0
118,9.0,296890.0,317843.0,0.0,69173.0,129453.0,0.0,395014.0
119,5.0,70262.0,0.0,0.0,0.0,0.0,43751.0,215899.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,5.0,38378.0,0.0,0.0,0.0,157570.0,67450.0,0.0
122,35.0,11465.0,1342233.0,133160.0,23501.0,812322.0,185139.0,395926.0
123,2.0,9644.0,0.0,0.0,0.0,0.0,5362.0,0.0
124,2.0,0.0,95798.0,0.0,0.0,0.0,0.0,11262.0
125,12.0,0.0,40173.0,124278.0,92941.0,59670.0,937547.0,0.0
126,2.0,0.0,81377.0,0.0,15963.0,0.0,0.0,0.0
127,3.0,0.0,0.0,0.0,0.0,70290.0,0.0,0.0
128,6.0,200748.0,19572.0,0.0,0.0,0.0,147983.0,0.0
129,13.0,23607.0,63864.0,0.0,102554.0,0.0,2960.0,0.0
130,2.0,0.0,0.0,41859.0,0.0,14412.0,0.0,0.0
131,3.0,0.0,214258.0,0.0,0.0,0.0,0.0,0.0
132,5.0,210312.0,0.0,0.0,15067.0,0.0,0.0,66448.0
133,8.0,0.0,5562.0,378780.0,0.0,132589.0,161923.0,0.0
134,15.0,144459.0,20602.0,159303.0,118792.0,355876.0,242456.0,312191.0
135,2.0,0.0,159870.0,0.0,0.0,0.0,0.0,0.0
136,7.0,0.0,0.0,42933.0,589746.0,0.0,884746.0,0.0
137,29.0,431409.0,2015828.0,2552215.0,442647.0,1760974.0,2220774.0,578183.0
138,19.0,39952.0,11743.0,37962.0,186058.0,191551.0,10723.0,46727.0
139,4.0,0.0,40173.0,20393.0,0.0,0.0,0.0,41220.0
140,32.0,1653558.0,2193589.0,2249844.0,839878.0,2197234.0,2797500.0,861273.0
141,14.0,7637.0,14875.0,6745.0,22090.0,31078.0,22090.0,0.0
143,10.0,37393.0,28842.0,11253.0,0.0,2731.0,14691.0,2883.0
144,7.0,0.0,0.0,112981.0,25009.0,2630.0,0.0,232454.0
145,46.0,838002.0,1749797.0,13663948.0,1537720.0,2502349.0,5982749.0,1368628.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,42.0,125565.0,1971738.0,48356.0,449717.0,242766.0,2320726.0,840842.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,7.0,0.0,13185.0,0.0,25799.0,0.0,213353.0,0.0
151,16.0,157990.0,563076.0,0.0,464800.0,376103.0,130664.0,403922.0
152,14.0,1843529.0,336633.0,295162.0,0.0,175976.0,369710.0,0.0
153,2.0,0.0,0.0,0.0,470024.0,0.0,0.0,0.0
154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,184702.0
155,3.0,0.0,0.0,31070.0,0.0,0.0,151629.0,39418.0
156,9.0,0.0,572935.0,357923.0,0.0,0.0,620756.0,0.0
157,7.0,0.0,81377.0,0.0,269288.0,162828.0,73992.0,60816.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,6.0,157990.0,0.0,126539.0,0.0,190540.0,0.0,0.0
160,8.0,0.0,13391.0,21466.0,77155.0,113566.0,110451.0,0.0
161,30.0,3906268.0,0.0,340479.0,1851626.0,0.0,669140.0,135147.0
162,7.0,0.0,0.0,162489.0,273146.0,400498.0,257361.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,14.0,408344.0,122065.0,0.0,1439149.0,443308.0,21018.0,100009.0
165,7.0,0.0,121550.0,178058.0,0.0,326668.0,96510.0,0.0
166,16.0,0.0,104409.0,74341.0,81270.0,351487.0,60909.0,143256.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,63.0,1755909.0,5670688.0,2554033.0,1307161.0,2458284.0,6730149.0,1248380.0
169,3.0,185002.0,51092.0,0.0,0.0,0.0,0.0,0.0
170,2.0,9841.0,20396.0,0.0,0.0,0.0,0.0,0.0
171,3.0,0.0,0.0,32764.0,0.0,0.0,2681.0,2816.0
172,8.0,0.0,506832.0,14462.0,0.0,0.0,342902.0,37841.0
173,2.0,0.0,0.0,0.0,0.0,0.0,87718.0,0.0
175,190.0,120043.0,178925.0,136367.0,190585.0,203271.0,247464.0,367273.0
176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37841.0
177,52.0,5965738.0,5219839.0,928736.0,421416.0,121363.0,1927124.0,3254249.0
178,4.0,0.0,0.0,0.0,1853.0,17759.0,0.0,0.0
179,19.0,54123.0,0.0,506866.0,554122.0,145595.0,643340.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,11.0,0.0,0.0,0.0,2054002.0,426994.0,864199.0,0.0
182,30.0,731429.0,2501658.0,1534235.0,2726454.0,1374696.0,3135073.0,2027302.0
183,4.0,108049.0,0.0,28019.0,0.0,0.0,75064.0,0.0
184,7.0,0.0,167338.0,0.0,78486.0,0.0,51472.0,5856.0
185,16.0,0.0,0.0,124844.0,50551.0,0.0,184819.0,3153.0
186,16.0,221186.0,82407.0,32200.0,22605.0,0.0,21307.0,704637.0
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,1.0,0.0,0.0,0.0,0.0,0.0,2145.0,0.0
189,26.0,0.0,227598.0,602063.0,1965007.0,633879.0,818216.0,711326.0
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,26.0,0.0,1477761.0,222572.0,792618.0,218453.0,1472601.0,800727.0
192,1.0,0.0,0.0,0.0,35473.0,0.0,0.0,0.0
193,6.0,0.0,20602.0,99423.0,52323.0,12136.0,1072.0,0.0
194,2.0,0.0,0.0,0.0,0.0,3034.0,0.0,1126.0
195,7.0,63963.0,0.0,0.0,0.0,44500.0,26808.0,39644.0
196,5.0,0.0,0.0,169471.0,72721.0,0.0,0.0,95730.0
197,38.0,284195.0,0.0,0.0,331853.0,141387.0,1432100.0,1077688.0
198,21.0,119070.0,919248.0,180770.0,0.0,88999.0,120788.0,96855.0
199,5.0,0.0,0.0,465029.0,0.0,29127.0,77530.0,329760.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,6.0,62980.0,147962.0,0.0,748135.0,0.0,0.0,357780.0
202,16.0,165469.0,154616.0,0.0,778464.0,77824.0,1583503.0,892311.0
203,1.0,29522.0,0.0,0.0,0.0,0.0,0.0,0.0
204,9.0,49203.0,64484.0,33894.0,19510.0,1011.0,10616.0,23651.0
205,6.0,0.0,0.0,0.0,15608.0,0.0,20460.0,43911.0
206,5.0,64357.0,0.0,0.0,0.0,99518.0,911.0,1915.0
207,3.0,16729.0,0.0,0.0,13303.0,0.0,0.0,7771.0
208,11.0,318834.0,1041005.0,220991.0,403510.0,0.0,0.0,0.0
209,6.0,0.0,0.0,21466.0,52323.0,0.0,326956.0,0.0
210,1.0,0.0,0.0,0.0,1242.0,0.0,0.0,0.0
211,2.0,0.0,0.0,0.0,0.0,0.0,0.0,156996.0
212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,22.0,416806.0,0.0,237983.0,1528727.0,41517.0,2248152.0,2698884.0
214,12.0,389686.0,97858.0,0.0,0.0,100124.0,520729.0,182449.0
215,8.0,0.0,18542.0,0.0,76800.0,0.0,58979.0,40657.0
216,5.0,83645.0,0.0,31635.0,49663.0,0.0,0.0,7647.0
217,8.0,0.0,25752.0,1695.0,87797.0,0.0,57585.0,6532.0
218,17.0,0.0,0.0,690313.0,200514.0,19216.0,1272117.0,751533.0
219,22.0,0.0,0.0,0.0,186146.0,72312.0,54485.0,809982.0
220,22.0,30407.0,0.0,86995.0,151116.0,0.0,266582.0,156096.0
221,4.0,0.0,0.0,0.0,7893.0,55220.0,0.0,0.0
222,11.0,48612.0,150722.0,355934.0,39110.0,99720.0,25629.0,0.0
223,16.0,36410.0,0.0,190937.0,134799.0,344347.0,2352640.0,1348726.0
224,7.0,0.0,1191603.0,0.0,0.0,0.0,99835.0,557258.0
225,55.0,6804762.0,2056493.0,2868088.0,1389298.0,4536644.0,1641999.0,0.0
226,5.0,27534.0,130295.0,0.0,0.0,0.0,0.0,6183.0
227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,7.0,63472.0,7211.0,89481.0,0.0,20227.0,2306.0,901.0
229,19.0,0.0,697235.0,195570.0,1095234.0,807063.0,704550.0,0.0
230,3.0,0.0,0.0,0.0,0.0,0.0,72276.0,33787.0
231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,17.0,14730.0,12330.0,5638.0,13275.0,13512.0,10273.0,6724.0
233,2.0,0.0,0.0,0.0,154309.0,0.0,0.0,0.0
234,2.0,0.0,0.0,74703.0,0.0,1396.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,12.0,0.0,246602.0,13558.0,84249.0,208137.0,53617.0,313913.0
238,3.0,0.0,0.0,0.0,15874.0,20227.0,0.0,0.0
239,40.0,297283.0,6027336.0,2113103.0,4353452.0,943879.0,2449504.0,475201.0
240,1.0,0.0,113722.0,0.0,0.0,0.0,0.0,0.0
241,12.0,672651.0,187888.0,258669.0,355533.0,0.0,638204.0,44486.0
242,37.0,3149.0,3708.0,2938.0,35651.0,51073.0,135114.0,93645.0
243,10.0,0.0,40997.0,19094.0,35295.0,0.0,21232.0,11150.0
245,1.0,0.0,0.0,11298.0,0.0,0.0,0.0,0.0
246,36.0,393573.0,1612858.0,544342.0,1879329.0,1057949.0,1307880.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,5.0,0.0,0.0,76827.0,1224.0,32363.0,0.0,118029.0
249,24.0,122613.0,1746182.0,900299.0,2737868.0,151805.0,1534219.0,622692.0
250,53.0,1988039.0,4905445.0,3633475.0,5813146.0,854839.0,2020430.0,2486714.0
251,10.0,0.0,32963.0,138063.0,0.0,158561.0,0.0,222046.0
252,7.0,0.0,402466.0,0.0,0.0,688309.0,59086.0,0.0
253,32.0,1472215.0,1476164.0,985046.0,1494133.0,377438.0,415521.0,553147.0
254,4.0,155746.0,366381.0,16744.0,0.0,0.0,473503.0,0.0
255,14.0,899426.0,96880.0,644104.0,549812.0,301303.0,0.0,259990.0
256,19.0,670594.0,1101450.0,3540537.0,1333162.0,0.0,0.0,0.0
257,16.0,32965.0,3296.0,16382.0,17293.0,15980.0,0.0,64871.0
258,20.0,0.0,7216652.0,0.0,1423807.0,984051.0,0.0,0.0
259,3.0,0.0,0.0,106315.0,0.0,0.0,3196.0,0.0
260,3.0,77740.0,4017.0,0.0,0.0,0.0,0.0,1464.0
261,1.0,124385.0,0.0,0.0,0.0,0.0,0.0,0.0
262,9.0,0.0,0.0,0.0,0.0,0.0,286850.0,232217.0
263,3.0,1476.0,0.0,0.0,0.0,0.0,0.0,8660.0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,45.0,2768894.0,3255741.0,2971126.0,1497592.0,2207549.0,816309.0,114481.0
266,3.0,170783.0,0.0,0.0,0.0,0.0,0.0,441662.0
267,2.0,0.0,0.0,0.0,0.0,0.0,5619.0,0.0
268,28.0,35013.0,256318.0,17625.0,205215.0,11529.0,0.0,61706.0
269,3.0,0.0,280070.0,0.0,0.0,0.0,769951.0,0.0
270,11.0,0.0,0.0,37058.0,2661.0,92843.0,80425.0,165555.0
271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,34.0,211473.0,61805.0,172861.0,216210.0,135714.0,321595.0,23359.0
273,2.0,37394.0,0.0,0.0,0.0,0.0,13940.0,0.0
274,1.0,0.0,0.0,0.0,621.0,0.0,0.0,0.0
275,4.0,0.0,8035.0,0.0,0.0,1568.0,13726.0,0.0
276,1.0,0.0,0.0,0.0,0.0,2002.0,0.0,0.0
277,17.0,111198.0,545193.0,541178.0,0.0,55119.0,681398.0,0.0
278,8.0,16895.0,0.0,4734.0,4789.0,0.0,10274.0,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,11.0,261011.0,19572.0,20337.0,1883082.0,0.0,1158364.0,26579.0
281,36.0,420381.0,998628.0,1033175.0,1078755.0,616725.0,1807708.0,1633032.0
282,29.0,2103367.0,1541485.0,0.0,317665.0,0.0,237202.0,758651.0
283,12.0,0.0,0.0,319238.0,3766385.0,0.0,642000.0,288563.0
284,293.0,78036.0,8652.0,51971.0,183653.0,299205.0,352029.0,315398.0
285,6.0,0.0,0.0,29375.0,13303.0,80908.0,23591.0,0.0
