고객번호,명품구매횟수,명품1,명품2,명품3,명품4,명품5,명품6
1,1.0,0.0,0.0,0.0,0.0,509218.0,0.0
2,5.0,0.0,0.0,0.0,385020.0,1561444.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.0,0.0,40173.0,64399.0,0.0,0.0,63268.0
7,5.0,0.0,0.0,406731.0,5935683.0,0.0,0.0
8,3.0,0.0,0.0,0.0,0.0,90516.0,55333.0
9,5.0,0.0,0.0,271086.0,1795924.0,0.0,0.0
10,1.0,0.0,367741.0,0.0,0.0,0.0,0.0
11,3.0,719836.0,0.0,1189688.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,6.0,0.0,0.0,384135.0,299307.0,270032.0,1769362.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,32170.0
17,6.0,0.0,4123178.0,1628958.0,0.0,0.0,1104082.0
18,1.0,0.0,451950.0,0.0,0.0,0.0,0.0
19,3.0,0.0,0.0,94136.0,0.0,0.0,189482.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,17.0,7538601.0,26047894.0,11377170.0,17758893.0,25251557.0,1586743.0
23,7.0,0.0,342504.0,212516.0,6913775.0,0.0,0.0
24,2.0,0.0,391432.0,0.0,0.0,0.0,0.0
25,11.0,48219.0,145634.0,0.0,593284.0,946337.0,260043.0
26,26.0,1253195.0,2990546.0,3405241.0,1894638.0,2974602.0,323954.0
27,8.0,1979427.0,752169.0,0.0,0.0,1230468.0,468077.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,7.0,0.0,5421344.0,308042.0,740047.0,0.0,529736.0
30,7.0,0.0,1064790.0,230763.0,1481105.0,0.0,1009115.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,5.0,0.0,51504.0,1279508.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.0,0.0,202927.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,0.0,1442121.0,0.0,0.0,0.0,0.0
40,2.0,0.0,231770.0,0.0,0.0,0.0,0.0
41,2.0,0.0,416155.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,22.0,2599352.0,411004.0,1129808.0,39973962.0,432355.0,303794.0
45,5.0,0.0,0.0,0.0,1666108.0,0.0,181333.0
46,18.0,18964469.0,11395072.0,0.0,1966524.0,35801020.0,2756988.0
47,1.0,0.0,0.0,1067669.0,0.0,0.0,0.0
48,11.0,0.0,534069.0,949039.0,0.0,4024189.0,910953.0
49,11.0,1173486.0,3119101.0,6021879.0,0.0,949259.0,686405.0
50,3.0,116118.0,0.0,0.0,0.0,0.0,121936.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,8.0,0.0,96880.0,111851.0,176330.0,715788.0,1061616.0
53,5.0,0.0,57736.0,0.0,1375792.0,0.0,527699.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,23.0,9423511.0,6333177.0,0.0,594624.0,0.0,5720884.0
57,1.0,0.0,0.0,32200.0,0.0,0.0,0.0
58,23.0,250245.0,394564.0,174194.0,143668.0,628659.0,255968.0
59,3.0,0.0,286982.0,299026.0,0.0,0.0,268085.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,3.0,144902.0,172539.0,157778.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0,0.0,0.0,42679.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2.0,0.0,0.0,0.0,61192.0,0.0,152809.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,15.0,16409585.0,587767.0,2287862.0,1138165.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,10.0,3142089.0,899472.0,1101958.0,794605.0,288237.0,900766.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,100.0,16070372.0,10289904.0,32134731.0,13350520.0,27731051.0,15505479.0
74,13.0,79019.0,1378957.0,588710.0,0.0,289905.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2.0,0.0,0.0,114111.0,0.0,0.0,175864.0
77,6.0,48219.0,1083290.0,214664.0,0.0,40252.0,0.0
78,23.0,1561696.0,1844627.0,1995320.0,1230263.0,388057.0,294894.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,9.0,472101.0,138866.0,246434.0,0.0,2519189.0,1498038.0
82,15.0,4186220.0,0.0,1860794.0,2656074.0,0.0,8242224.0
83,1.0,0.0,704579.0,0.0,0.0,0.0,0.0
84,3.0,0.0,0.0,0.0,0.0,0.0,3137668.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0,0.0,0.0,41821.0
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1.0,278586.0,0.0,0.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0,0.0,0.0,20374.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1.0,55156.0,0.0,0.0,0.0,0.0,0.0
93,29.0,0.0,1204613.0,0.0,2656074.0,6889464.0,9241163.0
94,4.0,0.0,0.0,2311747.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0,44342.0,0.0,0.0
96,1.0,0.0,582256.0,0.0,0.0,0.0,0.0
97,9.0,517908.0,0.0,0.0,8141599.0,0.0,0.0
98,4.0,0.0,0.0,338943.0,583538.0,0.0,825971.0
99,76.0,9200425.0,5140491.0,8144958.0,16349222.0,8449754.0,22469482.0
100,3.0,0.0,0.0,110722.0,0.0,133165.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,30.0,24902505.0,7036108.0,1839892.0,8742022.0,1197851.0,471830.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2.0,0.0,810266.0,0.0,82564.0,0.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1.0,0.0,0.0,0.0,0.0,0.0,15978.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,20.0,0.0,3597783.0,798549.0,6175482.0,2696278.0,1709043.0
114,2.0,177130.0,0.0,0.0,0.0,299766.0,0.0
115,17.0,0.0,5421808.0,0.0,935612.0,5863796.0,6652801.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,4.0,0.0,0.0,280192.0,769774.0,0.0,609197.0
118,34.0,167526.0,1200071.0,573434.0,541928.0,542795.0,766294.0
119,12.0,0.0,4046539.0,1033548.0,162025.0,614096.0,5769193.0
120,4.0,0.0,343482.0,0.0,434550.0,1011357.0,0.0
121,2.0,551071.0,0.0,55361.0,0.0,0.0,0.0
122,2.0,0.0,0.0,0.0,0.0,0.0,193075.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,6.0,0.0,239753.0,0.0,0.0,0.0,1671725.0
125,4.0,998423.0,0.0,248558.0,0.0,0.0,304545.0
126,6.0,0.0,0.0,0.0,426568.0,876239.0,147984.0
127,1.0,0.0,0.0,0.0,0.0,29329.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,5.0,1056383.0,50475.0,0.0,0.0,883926.0,0.0
131,8.0,0.0,126289.0,164952.0,86910.0,0.0,146911.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,63.0,1412464.0,2445631.0,659356.0,415837.0,4666157.0,10486986.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,29.0,1842151.0,6798724.0,359562.0,5558688.0,7442473.0,2683071.0
138,6.0,1421960.0,0.0,0.0,3008546.0,0.0,244011.0
139,15.0,391753.0,1415287.0,282452.0,2637273.0,0.0,0.0
140,46.0,37680994.0,12438179.0,27848986.0,17391610.0,11746658.0,15253618.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2.0,0.0,759174.0,111851.0,0.0,0.0,0.0
145,11.0,754032.0,2536485.0,1640030.0,1020261.0,0.0,1254048.0
146,80.0,10246931.0,7630562.0,5435700.0,8628225.0,9258043.0,9213519.0
147,27.0,8002288.0,3379435.0,1008862.0,11178125.0,10045807.0,2284407.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,3.0,0.0,0.0,779568.0,48776.0,0.0,80479.0
150,1.0,0.0,0.0,0.0,183664.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1.0,0.0,0.0,0.0,34587.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,14.0,20606512.0,6180517.0,0.0,0.0,0.0,0.0
155,2.0,0.0,0.0,0.0,0.0,110845.0,0.0
156,4.0,424403.0,27812.0,257009.0,0.0,0.0,0.0
157,1.0,372957.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,5.0,0.0,1174298.0,0.0,3307899.0,19114644.0,0.0
160,2.0,0.0,65926.0,0.0,0.0,273825.0,0.0
161,39.0,5973216.0,1698303.0,5063576.0,2818586.0,10819850.0,3101595.0
162,1.0,0.0,0.0,0.0,0.0,0.0,186480.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,24.0,29176355.0,5288514.0,4109113.0,2296640.0,1220202.0,10203535.0
165,3.0,0.0,0.0,869839.0,0.0,23413.0,0.0
166,1.0,0.0,0.0,0.0,0.0,0.0,32170.0
167,3.0,0.0,0.0,0.0,3786790.0,0.0,151886.0
168,3.0,0.0,574788.0,691443.0,0.0,0.0,0.0
169,1.0,58059.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,1.0,0.0,0.0,0.0,0.0,0.0,30991.0
