고객번호,문구류구매횟수,문구류1,문구류2,문구류3,문구류4,문구류5,문구류6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10.0,0.0,5974.0,7570.0,8602.0,1315.0,1394.0
8,1.0,0.0,0.0,21636.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4.0,17024.0,15451.0,0.0,0.0,0.0,3753.0
11,3.0,7872.0,0.0,0.0,0.0,29127.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7.0,0.0,11795.0,4971.0,0.0,1011.0,11613.0
14,4.0,56189.0,34920.0,0.0,0.0,0.0,2037.0
15,1.0,0.0,0.0,0.0,0.0,0.0,2145.0
16,2.0,0.0,0.0,0.0,0.0,0.0,98334.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,23.0,8934.0,2575.0,2825.0,42303.0,2731.0,152380.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.0,0.0,0.0,0.0,18978.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,5.0,24602.0,0.0,0.0,60660.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1.0,0.0,1442.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2.0,2657.0,0.0,0.0,0.0,0.0,1587.0
31,1.0,0.0,0.0,19772.0,0.0,0.0,0.0
32,3.0,6200.0,72539.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,18.0,0.0,4944.0,0.0,19111.0,51306.0,2144.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10.0,24798.0,4017.0,1469.0,1153.0,4804.0,1930.0
43,1.0,0.0,0.0,0.0,0.0,1315.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4.0,0.0,9786.0,0.0,2306.0,5664.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,7.0,37000.0,2678.0,0.0,1641.0,93146.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,39.0,91468.0,98940.0,210482.0,32812.0,100883.0,49445.0
51,3.0,1279.0,0.0,0.0,6651.0,1618.0,0.0
52,4.0,0.0,0.0,17738.0,0.0,0.0,16728.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4.0,0.0,267410.0,30505.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0,1774.0,0.0,0.0
58,7.0,48219.0,4120.0,66659.0,0.0,46118.0,74527.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,5.0,191183.0,0.0,0.0,0.0,0.0,0.0
61,3.0,0.0,0.0,0.0,0.0,38584.0,0.0
62,6.0,14840.0,60363.0,75358.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,4.0,1771.0,0.0,0.0,6917.0,5340.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2.0,10205.0,8035.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,4.0,0.0,0.0,0.0,19422.0,21643.0,124820.0
69,7.0,0.0,0.0,11300.0,0.0,0.0,0.0
70,1.0,0.0,51298.0,0.0,0.0,0.0,0.0
71,6.0,0.0,2369.0,1243.0,6119.0,5360.0,0.0
72,14.0,5609.0,1030.0,1130.0,30286.0,6372.0,1072.0
73,4.0,472326.0,0.0,0.0,1508.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,3.0,0.0,927.0,0.0,6474.0,0.0,34315.0
77,27.0,182248.0,28121.0,95356.0,31758.0,35195.0,6862.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,10.0,18155.0,7313.0,0.0,2572.0,0.0,0.0
80,1.0,2067.0,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,8.0,0.0,37907.0,94283.0,116264.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0,0.0,0.0,4933.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,5.0,1574.0,0.0,0.0,0.0,44945.0,1716.0
87,2.0,0.0,0.0,0.0,0.0,0.0,53618.0
88,1.0,0.0,0.0,0.0,1419.0,0.0,0.0
89,6.0,0.0,0.0,1638.0,2927.0,3540.0,4235.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,5.0,2854.0,0.0,8700.0,0.0,0.0,27345.0
92,42.0,36706.0,76845.0,205174.0,113471.0,167683.0,98977.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,4.0,5235.0,5099.0,0.0,0.0,0.0,858.0
95,7.0,1919.0,0.0,3841.0,0.0,6574.0,1501.0
