고객번호,생활잡화구매횟수,생활잡화1,생활잡화2,생활잡화3,생활잡화4,생활잡화5,생활잡화6,생활잡화7
1,79.0,491408.0,20859.0,3072186.0,787766.0,357221.0,182459.0,0.0
2,98.0,806679.0,396282.0,3712799.0,146993.0,150287.0,2418332.0,881264.0
3,156.0,588.0,23037.0,54219.0,54907.0,23696.0,32796.0,64039.0
4,65.0,93210.0,68787.0,146490.0,99858.0,79369.0,55115.0,55005.0
6,184.0,176503.0,211125.0,335845.0,190732.0,176711.0,50776.0,278276.0
7,62.0,5668.0,17965.0,206540.0,50080.0,152339.0,71610.0,92621.0
8,32.0,39343.0,40792.0,23274.0,21195.0,47311.0,71385.0,60545.0
9,15.0,0.0,9786.0,0.0,0.0,0.0,601679.0,68362.0
10,319.0,195118.0,174096.0,329116.0,117955.0,186660.0,201353.0,226102.0
11,25.0,48131.0,185467.0,81799.0,33745.0,59923.0,0.0,0.0
12,48.0,85414.0,72002.0,38448.0,17648.0,14969.0,56127.0,50341.0
13,80.0,218252.0,54883.0,63756.0,52147.0,28127.0,119964.0,53224.0
14,91.0,109408.0,272955.0,66715.0,107873.0,116337.0,56694.0,32311.0
15,72.0,63225.0,30077.0,64345.0,113684.0,66245.0,198286.0,513278.0
16,33.0,0.0,0.0,0.0,311722.0,455939.0,122966.0,111497.0
17,66.0,122780.0,9271.0,204314.0,6421756.0,46471.0,126494.0,112070.0
18,54.0,32031.0,270129.0,195456.0,54496.0,67153.0,63054.0,79343.0
19,43.0,251377.0,62846.0,178454.0,62655.0,124550.0,184496.0,133388.0
20,59.0,241890.0,95757.0,200225.0,135376.0,231935.0,91491.0,53046.0
21,145.0,47133.0,229237.0,251733.0,75226.0,157347.0,68502.0,100247.0
22,3.0,185101.0,0.0,7118.0,0.0,0.0,56030.0,0.0
23,28.0,30190.0,29357.0,48209.0,116966.0,20024.0,207734.0,43922.0
24,79.0,18069.0,72785.0,26155.0,59899.0,52328.0,50317.0,146929.0
25,24.0,45197.0,21879.0,23647.0,4434.0,435.0,14528.0,19832.0
26,87.0,224886.0,230833.0,392168.0,257263.0,105617.0,341217.0,77246.0
27,7.0,0.0,18800.0,0.0,30765.0,0.0,0.0,0.0
28,84.0,45079.0,65060.0,17286.0,55943.0,21592.0,111319.0,157242.0
29,80.0,478929.0,130049.0,109704.0,131546.0,219271.0,43881.0,152064.0
30,324.0,269685.0,252735.0,351299.0,189946.0,175929.0,321959.0,439757.0
31,79.0,27917.0,82200.0,112542.0,125524.0,49516.0,52576.0,60051.0
32,42.0,19169.0,20468.0,44876.0,19466.0,36408.0,84286.0,61773.0
33,134.0,96868.0,46763.0,33986.0,21903.0,41774.0,95800.0,71031.0
34,85.0,177179.0,165533.0,353234.0,108999.0,283839.0,182941.0,110933.0
35,74.0,156356.0,212229.0,224832.0,91070.0,24677.0,252210.0,162278.0
36,72.0,490650.0,766321.0,464646.0,73067.0,21744.0,899876.0,1040477.0
37,27.0,12793.0,23074.0,36042.0,40796.0,32060.0,58334.0,187923.0
38,218.0,132334.0,223067.0,309334.0,164314.0,215053.0,114398.0,270316.0
39,28.0,22387.0,161724.0,23726.0,166725.0,13856.0,206179.0,158370.0
40,81.0,169338.0,100084.0,96711.0,121763.0,474428.0,97796.0,151410.0
41,18.0,4871.0,29409.0,0.0,17737.0,64423.0,9061.0,152199.0
42,125.0,32966.0,117376.0,79989.0,93553.0,87836.0,123857.0,109393.0
43,122.0,66334.0,88688.0,45836.0,123849.0,54522.0,98227.0,73541.0
44,11.0,4527.0,0.0,2260.0,10589.0,0.0,135168.0,9269.0
45,33.0,11021.0,36722.0,274770.0,18270.0,44500.0,38390.0,16770.0
46,17.0,54418.0,56140.0,0.0,50063.0,15170.0,23913.0,150351.0
47,120.0,496083.0,477734.0,424738.0,111208.0,214034.0,377421.0,31220.0
48,145.0,660804.0,302929.0,351823.0,347604.0,534058.0,220132.0,1000124.0
49,49.0,122348.0,177906.0,148636.0,31376.0,5543327.0,933773.0,84130.0
50,184.0,228882.0,337423.0,315191.0,164436.0,183902.0,204179.0,211463.0
51,294.0,448430.0,370104.0,295336.0,237583.0,304187.0,213299.0,226992.0
52,48.0,7331.0,87041.0,56718.0,55073.0,321226.0,31205.0,4955.0
53,12.0,13285.0,52.0,10225.0,92231.0,0.0,0.0,992.0
54,104.0,296484.0,313245.0,342217.0,513124.0,38431.0,288758.0,109638.0
55,108.0,126155.0,100743.0,259675.0,113062.0,88148.0,152060.0,65456.0
56,31.0,104625.0,79730.0,51971.0,289135.0,13148.0,602773.0,13797.0
57,111.0,43336.0,83426.0,66331.0,146382.0,58921.0,42978.0,197476.0
58,29.0,15646.0,71385.0,14123.0,33478.0,98305.0,76265.0,61549.0
59,16.0,33459.0,10301.0,51293.0,69440.0,20227.0,0.0,18357.0
60,95.0,145837.0,83387.0,169450.0,92977.0,126217.0,277017.0,371262.0
61,94.0,298126.0,133437.0,48854.0,102084.0,178334.0,115610.0,153910.0
62,50.0,216640.0,82735.0,58750.0,73050.0,51175.0,20374.0,515464.0
63,39.0,28419.0,65050.0,76374.0,98218.0,71604.0,97155.0,33111.0
64,23.0,15794.0,20498.0,565.0,48287.0,6978.0,1072.0,0.0
65,72.0,112861.0,431708.0,150366.0,14536.0,536564.0,231411.0,83353.0
