고객번호,식료품구매횟수,식료품1,식료품2,식료품3,식료품4,식료품5,식료품6
1,409,635666,811625,828210,1284223,1391110,893878
2,527,2455558,2030956,1652569,1511411,1874481,965639
3,1,0,0,2214,0,0,0
4,374,532084,634808,375166,209117,715301,629533
6,744,771569,822284,1261397,677128,1143224,543104
7,305,510994,355292,534352,509231,723876,678168
8,1101,1472555,2087888,2969761,1516860,2372994,2766622
9,109,116120,188927,284576,246648,197075,650269
10,354,33065,23692,437100,505810,505728,355595
11,314,1672191,660694,1632920,659975,945308,521026
12,287,353778,129872,164037,111056,223974,596472
13,1726,1150106,1282168,1228326,1459599,1580241,1851663
14,334,793761,1160332,527087,604123,556086,757953
15,550,818118,477152,824322,568461,466716,632192
16,377,587246,468996,902854,966209,1445729,921903
17,228,20361612,334450,540962,1222568,410296,12465636
18,239,567678,660518,800498,276291,251848,373742
19,326,2785103,1761400,1084853,1587234,1471564,2177652
20,689,1705800,1657697,1918215,1390015,1868404,1345669
21,1204,1279066,1484950,2453871,1516927,1359814,1996612
22,198,378094,399500,160342,298394,527210,527593
23,325,931251,731734,1585609,785259,2054382,470295
24,451,473829,566527,818306,517390,434081,371145
25,111,70654,126607,284610,193535,231704,105366
26,356,1206761,786705,882751,420373,685609,1472200
27,315,576964,814806,863218,469073,626963,788214
28,979,655293,979267,671923,794475,460826,1115643
29,216,303247,167391,294481,374029,483340,299225
30,485,1113962,1514616,1705052,1334727,1059960,1800902
31,414,574570,587145,516999,457813,692913,840818
32,889,780344,1204050,1925930,1278378,1530981,1366628
33,1286,887909,1002312,1080472,764217,999466,968911
34,645,880152,1560085,1073515,1817796,1026979,413515
35,489,1077209,1346961,828595,749724,1502046,3573450
36,397,605851,1361216,487496,481842,906267,916519
37,496,377494,828714,1211796,1128224,933122,765723
38,1035,1011048,1074667,1535852,1158486,1184463,919094
39,274,410175,732423,460779,706665,472023,782159
40,351,365592,468327,276414,398201,523271,279452
41,247,398503,699627,550070,502347,764638,629383
42,1264,839335,1111380,1390021,1007939,1480076,1602964
43,612,619577,516157,358049,500009,488402,819152
44,351,621336,905882,1833187,974127,672763,643127
45,277,434135,401027,554417,511236,795013,594857
46,300,664190,858412,1829326,1142339,863476,1291139
47,1196,1929886,2228103,1520507,1164190,1331710,1116798
48,151,600970,688877,1007619,489477,317214,647052
49,289,658917,1253130,993691,656818,589005,714627
50,726,941844,1364851,936241,901109,1031393,880768
51,1055,1602724,1323345,1445743,731380,1351356,686410
52,628,500245,549954,1149311,1221628,1899316,2172245
53,213,174896,597678,1013058,635811,995664,468931
54,233,367721,332098,386178,256635,246002,246616
55,1,0,0,0,8868,0,0
56,224,1139092,450733,369290,466067,480143,492505
57,2,0,0,0,0,1729420,0
58,276,650846,371672,585780,392739,567434,819612
59,552,716934,825003,1293471,1240032,1228585,1055077
60,819,769757,1107728,1590946,1019100,1174149,1384587
61,482,1571720,2070532,1623440,775225,524221,487300
62,437,504331,936229,662449,532924,816414,451191
63,376,364454,616055,534060,496076,528101,599624
64,656,521642,501702,526633,501051,395950,279176
65,473,1017898,532821,818340,501612,1268500,834989
66,1298,1186770,1268197,1619511,1478192,1641753,1829105
67,1165,566734,678329,1043252,794848,1143952,1051038
68,569,408059,584987,1378581,1113526,622282,532924
69,74,104820,35020,122429,21240,0,29771
70,397,421076,539782,385324,343575,187546,0
71,710,460018,507731,563564,375990,365732,451676
72,490,478653,315321,831596,761425,599867,791027
73,86,273568,556792,601793,76994,64989,338377
74,206,405138,436151,536467,359071,881645,342504
75,174,163681,104544,238179,210113,90233,69100
76,342,478160,476387,318400,465538,321543,302406
77,542,1028190,1106892,1382455,1031677,1136971,1040805
78,361,1207430,427889,984356,1096129,1811596,2022638
79,1257,1347221,860928,1669308,1117563,978428,1607399
80,85,97676,87138,76011,136775,79058,191100
81,268,362635,699997,328323,407170,952044,605493
82,504,522326,741586,1059089,658717,975471,736440
83,528,1001826,1271921,1490602,1079816,1211252,1327569
84,152,629187,54596,246072,159233,526564,600615
85,460,243098,193411,611826,854168,560513,1492286
86,1220,1052413,1280968,1448544,1260076,2261297,1983815
87,207,212790,505926,216701,297535,1312983,371242
88,864,1495258,1467625,1139820,1385850,1519268,1084322
89,948,527651,865323,943320,704325,825188,1007370
90,206,101062,698069,920174,472556,411066,581818
91,423,1300828,1668257,1797829,1569032,1885928,1660712
92,440,1015501,689232,831238,729144,1152211,931184
93,214,1576557,823048,1444380,7059,1458844,540243
94,432,51575,21931,1259682,1471099,1094536,919501
95,714,536030,617316,509013,372908,495403,702162
96,393,893540,905263,2906954,969418,1047187,699627
97,109,2455412,307904,5125653,314516,23174643,36803
98,457,1428428,1380660,2043761,1415250,866429,1215214
99,300,651707,622668,879228,573891,705925,643736
100,360,262491,339437,1397570,558057,377827,204853
101,367,608179,241681,225911,495309,506457,377495
102,1076,1609235,1542404,2780532,1401034,1971860,1227481
103,49,127069,133260,133495,20353,0,6627
104,1661,1450784,1893955,2298804,761316,1309987,1610266
105,1640,1993683,2688775,2374325,1989695,1944850,1286844
106,279,227204,654074,570663,464904,324709,478283
107,261,375833,398304,650906,750723,1276718,1290954
108,481,538806,524037,556210,581928,607592,650180
109,3,12793,0,0,0,0,13801
110,732,942803,853293,1307722,941204,927530,717458
111,127,308567,71348,202423,95530,64728,246745
112,374,206267,787573,2168001,831971,671449,1815490
113,731,1400972,1754439,1897431,1259153,1178698,1081711
114,318,762752,750347,525313,426517,749852,1027281
115,275,1047313,2126335,510427,1179166,1676183,1197644
116,19,12626,0,0,22657,194807,25736
117,551,2030259,771342,3386515,660581,2309880,1226964
118,203,403462,427899,1074320,683147,711631,375426
119,308,437924,838431,946337,1048272,891653,770444
120,307,415624,344273,658802,228680,383194,332995
121,343,418645,562542,443980,780689,721777,541225
122,475,596121,671126,1141570,638185,1120378,1282135
123,1154,1351496,628164,1206650,909323,1246009,1263838
124,212,229158,292236,390698,315217,420846,365163
125,472,840613,1169196,826365,629047,979059,731733
126,966,829548,650298,743483,675604,899464,1638785
127,212,274725,242172,299482,154422,252010,232054
128,461,366527,524208,2613045,657185,341033,699688
129,503,358052,566624,735623,441836,686842,900197
130,405,1322463,1103182,1319851,1057568,1299346,660108
131,387,538945,1101885,541767,351427,514504,514916
132,1357,818111,991163,1254040,1061750,1422291,234457
133,721,1566754,1781584,1247008,842514,879808,1463553
134,233,160836,241748,122021,516126,434353,206877
135,460,454979,932125,476542,662708,439751,646325
136,154,114356,628327,369651,250805,219182,157613
137,217,843879,545841,617318,216377,372349,520772
138,351,853664,334058,343905,392467,806540,1080470
139,334,884803,637884,685102,1040671,671078,561959
140,417,3280450,1284005,4655556,6993668,5730277,5430778
141,9,0,0,10598,2377,0,24396
143,964,554081,646062,755830,602753,635860,891639
144,264,0,20602,1999223,851157,133933,949482
145,428,1235550,1429541,1453869,1445852,895877,1096660
146,58,97519,129379,145744,45025,58688,267967
147,816,1562669,1690762,1607591,826803,978946,1184043
148,3,0,5583,10168,0,0,0
149,475,981864,973868,1492825,1031735,1659542,1736441
150,1218,883630,1045884,1740627,793817,880166,1122599
151,779,1952568,1780773,2571624,1074736,1397658,1234604
152,84,223185,221736,242594,208177,271550,87074
153,690,800425,560142,828471,365992,787077,742794
154,250,124878,493566,478466,136944,167471,386443
155,413,847226,1141128,911485,848413,1285880,1431690
156,666,1426948,2121438,2124314,2297025,1587448,1540855
157,344,367055,483401,601769,355886,593611,395373
158,598,697443,685237,1152793,1208663,769045,2273159
159,110,73104,89927,136584,243424,245727,87747
160,860,1223002,1451256,984684,1122950,2244255,1375052
161,144,986464,527367,175357,209655,236115,428843
162,404,787464,372684,715589,714278,1071277,557877
163,43,0,64586,163754,78618,169565,222618
164,184,104034,300664,368242,158691,290561,343099
165,140,40258,175156,111206,108636,1028061,315493
166,432,43997,1159197,994897,1279505,972075,875035
167,497,877208,799117,838792,673109,995831,937452
168,412,530719,1042608,906331,993254,483775,2080393
169,448,470675,330539,441033,44323,395941,627636
170,1096,566029,1426383,1515525,855983,1097025,1232465
171,254,192976,439390,249803,198587,425235,594288
172,863,1287300,2051794,1670207,1522128,1817650,1523037
173,79,93106,42756,97014,188013,117925,14477
175,2783,2742656,2678915,3095511,2167195,2903320,3300597
176,42,5707,25719,93323,88135,136728,73003
177,151,463041,424786,383502,126819,270717,367450
178,1130,1024330,1266359,1702347,1111880,1411580,1768218
179,716,1400497,1468555,2030717,1069798,1762912,1578498
180,302,1855772,1568882,1604351,808664,1157477,2109893
181,305,458065,614903,538024,684186,824794,1029908
182,849,1753677,1508445,2292714,1555112,1791497,1927442
183,1389,1114469,1205030,1434582,1187765,1395001,1076389
184,184,416192,500109,247235,312511,164681,206040
185,843,4162,744031,1214214,1030122,1346843,1245823
186,736,988061,2736729,1421692,1047965,1584091,1875054
187,209,508267,336271,158627,557195,346065,500729
188,120,125411,160142,245984,92094,14564,401779
189,672,1271307,1186957,1892674,2561663,3891254,2438960
190,648,1286295,1204199,1347725,1157656,1940875,1624875
191,45,37297,141667,606877,114243,650403,210499
192,514,158877,1084009,1204805,942030,723585,1120061
193,847,749589,1123386,952196,831275,759821,1079510
194,1228,874976,911066,1323283,756616,995929,1191721
195,381,159724,226198,326539,185569,488707,836391
196,388,580969,727666,593947,557405,560300,415928
197,453,609108,361081,449540,197186,549527,583085
198,774,517019,577207,878849,338103,720597,607580
199,388,434185,1932448,870227,591996,887245,808899
200,68,24305,71438,186045,138657,89851,52221
201,359,3347567,3242299,6054927,3489000,1921235,1578867
202,175,195592,283539,417396,335989,459060,309681
203,687,519520,592506,731820,511451,598465,604635
204,923,1077642,973486,922754,604537,1088978,925749
205,748,1295796,1012468,973063,592148,701087,842311
206,1114,817824,876566,1323557,865145,1206764,1020633
207,822,691737,593070,1103807,862697,826769,885926
208,89,80123,272459,193119,145742,224785,42753
209,211,104919,205573,322768,178661,324897,375703
210,479,333050,315101,458588,457858,393659,554730
211,313,807103,724512,895794,477401,790934,835406
