고객번호,의류잡화구매횟수,의류잡화1,의류잡화2,의류잡화3,의류잡화4,의류잡화5,의류잡화6
1,174.0,4813259.0,5975047.0,6635532.0,5584480.0,5735435.0,6914818.0
2,107.0,1917126.0,2751441.0,4834960.0,2176999.0,7456623.0,2046243.0
3,1.0,0.0,82407.0,0.0,0.0,0.0,0.0
4,93.0,574609.0,2601328.0,1194615.0,682933.0,659840.0,926929.0
6,100.0,457586.0,1479824.0,1171496.0,734920.0,393014.0,1470931.0
7,103.0,9217757.0,1274558.0,3019694.0,6455313.0,8030994.0,9534396.0
8,52.0,334431.0,1327916.0,516095.0,515120.0,465122.0,702179.0
9,306.0,8185834.0,22713726.0,17422397.0,16155404.0,10807441.0,14649483.0
10,25.0,270615.0,300477.0,88690.0,7095.0,865479.0,257469.0
11,101.0,6443810.0,4438485.0,3836930.0,3549560.0,0.0,6549876.0
12,9.0,376697.0,0.0,274544.0,43455.0,0.0,313123.0
13,33.0,237749.0,418937.0,0.0,277048.0,405695.0,53187.0
14,108.0,1888992.0,2425647.0,3015233.0,939248.0,2278282.0,1192336.0
15,114.0,2752234.0,4902818.0,1896269.0,312192.0,2428149.0,4734115.0
16,15.0,9841.0,51505.0,100102.0,87797.0,42376.0,12225.0
17,79.0,3719140.0,10847736.0,3420721.0,4142650.0,3634188.0,6460980.0
18,154.0,38281562.0,16188342.0,11296580.0,159631.0,466640.0,0.0
19,37.0,562831.0,2197133.0,178408.0,1897990.0,1493137.0,3000184.0
20,28.0,382601.0,481566.0,237259.0,0.0,919526.0,336609.0
21,32.0,103325.0,59744.0,305049.0,168587.0,1302527.0,1436241.0
22,3.0,0.0,436839.0,0.0,174565.0,0.0,355535.0
23,54.0,583811.0,1369150.0,728173.0,4567986.0,516906.0,1658568.0
24,30.0,0.0,295634.0,569198.0,501861.0,275089.0,12868.0
25,144.0,381420.0,2476874.0,2297928.0,858681.0,10016377.0,6852149.0
26,143.0,10034442.0,12738252.0,3098048.0,8855315.0,5252432.0,1344984.0
27,55.0,6366757.0,1946266.0,1054383.0,914134.0,3367454.0,3717482.0
28,19.0,22534.0,288527.0,20337.0,14544.0,0.0,4182.0
29,200.0,4250915.0,4640808.0,4216778.0,3843395.0,6287039.0,5051259.0
30,119.0,4079175.0,8264845.0,7585656.0,10270690.0,3808518.0,11935378.0
31,72.0,506109.0,319327.0,925484.0,1307017.0,661780.0,254466.0
32,12.0,11809.0,464981.0,183142.0,74139.0,219263.0,0.0
33,15.0,1476.0,91574.0,7344.0,13213.0,0.0,55547.0
34,45.0,243654.0,1419191.0,180769.0,301525.0,90011.0,1198180.0
35,76.0,1456766.0,2050490.0,1982949.0,1789757.0,2606943.0,1902063.0
36,30.0,0.0,169687.0,563763.0,3039666.0,158014.0,609325.0
37,52.0,1380138.0,765663.0,4823117.0,7084224.0,4033392.0,4880169.0
38,82.0,506689.0,270501.0,596651.0,189516.0,298553.0,297789.0
39,65.0,67892603.0,33685623.0,3391696.0,14235049.0,4759537.0,28927622.0
40,95.0,1288623.0,3386718.0,1383733.0,1086331.0,1320328.0,1475916.0
41,19.0,339400.0,213434.0,189017.0,957075.0,166470.0,393549.0
42,35.0,394803.0,480227.0,145519.0,16850.0,459360.0,194416.0
43,14.0,204486.0,74063.0,0.0,1375146.0,8900.0,0.0
44,87.0,1394613.0,905209.0,1249452.0,2039563.0,5532726.0,1711813.0
45,191.0,23763866.0,1245868.0,14385568.0,35764583.0,25307688.0,50139028.0
46,39.0,1055497.0,2281744.0,0.0,2257795.0,600645.0,4337994.0
47,55.0,688346.0,526683.0,2620592.0,224688.0,277821.0,45896.0
48,96.0,1918378.0,3477262.0,2379195.0,1555982.0,2709879.0,1399617.0
49,83.0,3998916.0,7149459.0,3160842.0,2867397.0,3879180.0,4880214.0
50,94.0,717374.0,2125223.0,1178955.0,1022522.0,947914.0,809542.0
51,76.0,958469.0,1110174.0,604559.0,530771.0,290765.0,462254.0
52,91.0,5442064.0,3052857.0,909676.0,1689758.0,731473.0,1280482.0
53,17.0,377484.0,61805.0,58750.0,1970959.0,773789.0,367384.0
54,14.0,44283.0,351929.0,37284.0,72596.0,279539.0,0.0
55,6.0,26668.0,0.0,0.0,77244.0,0.0,0.0
56,171.0,3864819.0,5899172.0,1783764.0,5866902.0,21420582.0,6191939.0
57,16.0,58749.0,18439.0,121906.0,12238.0,0.0,38711.0
58,83.0,1639092.0,1215338.0,1293763.0,2937529.0,1125681.0,987507.0
59,28.0,2172931.0,3438789.0,1548799.0,1223435.0,597256.0,2291109.0
60,66.0,952487.0,1006909.0,328458.0,1112608.0,223408.0,1588910.0
61,90.0,2179340.0,1650662.0,345043.0,592183.0,434075.0,635791.0
62,74.0,401200.0,1369397.0,2310797.0,738308.0,796516.0,641476.0
63,16.0,0.0,142049.0,10168.0,83362.0,251828.0,156561.0
64,2.0,9841.0,0.0,0.0,13303.0,0.0,0.0
65,50.0,81677.0,726674.0,1841699.0,56668.0,2128744.0,1150620.0
66,36.0,1319719.0,497737.0,119082.0,211245.0,352863.0,350977.0
67,9.0,0.0,153483.0,68918.0,319261.0,20228.0,181225.0
68,94.0,1371201.0,4754373.0,3977295.0,6171705.0,9425188.0,269265.0
69,10.0,31785.0,24619.0,4406.0,0.0,3439.0,10938.0
70,40.0,110313.0,178927.0,7457276.0,858281.0,954823.0,321273.0
71,1.0,0.0,0.0,67563.0,0.0,0.0,0.0
72,83.0,482384.0,218173.0,811744.0,96133.0,312306.0,173074.0
73,137.0,6176522.0,11786827.0,6779317.0,4001394.0,5425182.0,1453900.0
74,197.0,3155843.0,6464363.0,4859432.0,2052617.0,1399536.0,1119298.0
75,11.0,8660.0,161415.0,27680.0,0.0,26093.0,33028.0
76,95.0,465852.0,250228.0,477118.0,1157676.0,451269.0,1095717.0
77,77.0,1789879.0,2225388.0,1577607.0,2233311.0,870072.0,2429614.0
78,123.0,5685567.0,3891697.0,5022745.0,4457804.0,5042850.0,19482691.0
79,38.0,157892.0,295098.0,347641.0,616307.0,90416.0,149410.0
80,13.0,0.0,0.0,178962.0,78928.0,108216.0,841252.0
81,102.0,6985709.0,2696716.0,1509481.0,3091991.0,1848323.0,5260817.0
82,112.0,8870442.0,6458147.0,33469824.0,3622946.0,10504095.0,5714129.0
83,89.0,3187286.0,8341225.0,25995660.0,6671909.0,7785172.0,9306760.0
