고객번호,의류잡화구매횟수,의류잡화1,의류잡화2,의류잡화3,의류잡화4,의류잡화5,의류잡화6,의류잡화7
1,209.0,4813259.0,5975047.0,6635532.0,5584480.0,5735435.0,6914818.0,5930058.0
2,131.0,1917126.0,2751441.0,4834960.0,2176999.0,7456623.0,2046243.0,4899422.0
3,1.0,0.0,82407.0,0.0,0.0,0.0,0.0,0.0
4,109.0,574609.0,2601328.0,1194615.0,682933.0,659840.0,926929.0,1181191.0
6,119.0,457586.0,1479824.0,1171496.0,734920.0,393014.0,1470931.0,1687090.0
7,112.0,9217757.0,1274558.0,3019694.0,6455313.0,8030994.0,9534396.0,1504022.0
8,62.0,334431.0,1327916.0,516095.0,515120.0,465122.0,702179.0,931675.0
9,321.0,8185834.0,22713726.0,17422397.0,16155404.0,10807441.0,14649483.0,10455130.0
10,30.0,270615.0,300477.0,88690.0,7095.0,865479.0,257469.0,212857.0
11,102.0,6443810.0,4438485.0,3836930.0,3549560.0,0.0,6549876.0,22525.0
12,13.0,376697.0,0.0,274544.0,43455.0,0.0,313123.0,1932609.0
13,36.0,237749.0,418937.0,0.0,277048.0,405695.0,53187.0,158798.0
14,120.0,1888992.0,2425647.0,3015233.0,939248.0,2278282.0,1192336.0,1400747.0
15,118.0,2752234.0,4902818.0,1896269.0,312192.0,2428149.0,4734115.0,95618.0
16,20.0,9841.0,51505.0,100102.0,87797.0,42376.0,12225.0,338094.0
17,98.0,3719140.0,10847736.0,3420721.0,4142650.0,3634188.0,6460980.0,9966947.0
18,166.0,38281562.0,16188342.0,11296580.0,159631.0,466640.0,0.0,773157.0
19,45.0,562831.0,2197133.0,178408.0,1897990.0,1493137.0,3000184.0,1376442.0
20,36.0,382601.0,481566.0,237259.0,0.0,919526.0,336609.0,338544.0
21,36.0,103325.0,59744.0,305049.0,168587.0,1302527.0,1436241.0,243153.0
22,3.0,0.0,436839.0,0.0,174565.0,0.0,355535.0,0.0
23,69.0,583811.0,1369150.0,728173.0,4567986.0,516906.0,1658568.0,2120992.0
24,41.0,0.0,295634.0,569198.0,501861.0,275089.0,12868.0,319061.0
25,153.0,381420.0,2476874.0,2297928.0,858681.0,10016377.0,6852149.0,2361499.0
26,161.0,10034442.0,12738252.0,3098048.0,8855315.0,5252432.0,1344984.0,4122785.0
27,73.0,6366757.0,1946266.0,1054383.0,914134.0,3367454.0,3717482.0,2044884.0
28,19.0,22534.0,288527.0,20337.0,14544.0,0.0,4182.0,0.0
29,232.0,4250915.0,4640808.0,4216778.0,3843395.0,6287039.0,5051259.0,4073106.0
30,138.0,4079175.0,8264845.0,7585656.0,10270690.0,3808518.0,11935378.0,6130929.0
31,89.0,506109.0,319327.0,925484.0,1307017.0,661780.0,254466.0,657852.0
32,13.0,11809.0,464981.0,183142.0,74139.0,219263.0,0.0,3379.0
33,15.0,1476.0,91574.0,7344.0,13213.0,0.0,55547.0,0.0
34,49.0,243654.0,1419191.0,180769.0,301525.0,90011.0,1198180.0,539465.0
35,95.0,1456766.0,2050490.0,1982949.0,1789757.0,2606943.0,1902063.0,3618516.0
36,43.0,0.0,169687.0,563763.0,3039666.0,158014.0,609325.0,2299953.0
37,55.0,1380138.0,765663.0,4823117.0,7084224.0,4033392.0,4880169.0,986069.0
38,102.0,506689.0,270501.0,596651.0,189516.0,298553.0,297789.0,786705.0
39,73.0,67892603.0,33685623.0,3391696.0,14235049.0,4759537.0,28927622.0,15731391.0
40,115.0,1288623.0,3386718.0,1383733.0,1086331.0,1320328.0,1475916.0,1527842.0
41,21.0,339400.0,213434.0,189017.0,957075.0,166470.0,393549.0,135148.0
42,37.0,394803.0,480227.0,145519.0,16850.0,459360.0,194416.0,208352.0
43,15.0,204486.0,74063.0,0.0,1375146.0,8900.0,0.0,8559.0
44,94.0,1394613.0,905209.0,1249452.0,2039563.0,5532726.0,1711813.0,191234.0
45,209.0,23763866.0,1245868.0,14385568.0,35764583.0,25307688.0,50139028.0,16115546.0
46,50.0,1055497.0,2281744.0,0.0,2257795.0,600645.0,4337994.0,2076429.0
47,59.0,688346.0,526683.0,2620592.0,224688.0,277821.0,45896.0,328633.0
48,108.0,1918378.0,3477262.0,2379195.0,1555982.0,2709879.0,1399617.0,1144406.0
49,93.0,3998916.0,7149459.0,3160842.0,2867397.0,3879180.0,4880214.0,4198333.0
50,104.0,717374.0,2125223.0,1178955.0,1022522.0,947914.0,809542.0,763967.0
51,80.0,958469.0,1110174.0,604559.0,530771.0,290765.0,462254.0,267367.0
52,100.0,5442064.0,3052857.0,909676.0,1689758.0,731473.0,1280482.0,1168767.0
53,18.0,377484.0,61805.0,58750.0,1970959.0,773789.0,367384.0,44937.0
54,21.0,44283.0,351929.0,37284.0,72596.0,279539.0,0.0,178169.0
55,7.0,26668.0,0.0,0.0,77244.0,0.0,0.0,33787.0
56,181.0,3864819.0,5899172.0,1783764.0,5866902.0,21420582.0,6191939.0,2567824.0
57,18.0,58749.0,18439.0,121906.0,12238.0,0.0,38711.0,93139.0
58,94.0,1639092.0,1215338.0,1293763.0,2937529.0,1125681.0,987507.0,1632456.0
59,32.0,2172931.0,3438789.0,1548799.0,1223435.0,597256.0,2291109.0,1957385.0
60,75.0,952487.0,1006909.0,328458.0,1112608.0,223408.0,1588910.0,818207.0
61,100.0,2179340.0,1650662.0,345043.0,592183.0,434075.0,635791.0,969515.0
62,85.0,401200.0,1369397.0,2310797.0,738308.0,796516.0,641476.0,888481.0
63,20.0,0.0,142049.0,10168.0,83362.0,251828.0,156561.0,437426.0
64,2.0,9841.0,0.0,0.0,13303.0,0.0,0.0,0.0
65,52.0,81677.0,726674.0,1841699.0,56668.0,2128744.0,1150620.0,497005.0
66,42.0,1319719.0,497737.0,119082.0,211245.0,352863.0,350977.0,476283.0
67,9.0,0.0,153483.0,68918.0,319261.0,20228.0,181225.0,0.0
68,103.0,1371201.0,4754373.0,3977295.0,6171705.0,9425188.0,269265.0,615485.0
69,12.0,31785.0,24619.0,4406.0,0.0,3439.0,10938.0,29169.0
70,43.0,110313.0,178927.0,7457276.0,858281.0,954823.0,321273.0,942204.0
71,1.0,0.0,0.0,67563.0,0.0,0.0,0.0,0.0
72,92.0,482384.0,218173.0,811744.0,96133.0,312306.0,173074.0,353410.0
73,152.0,6176522.0,11786827.0,6779317.0,4001394.0,5425182.0,1453900.0,2607658.0
74,207.0,3155843.0,6464363.0,4859432.0,2052617.0,1399536.0,1119298.0,291277.0
75,12.0,8660.0,161415.0,27680.0,0.0,26093.0,33028.0,28156.0
76,111.0,465852.0,250228.0,477118.0,1157676.0,451269.0,1095717.0,634820.0
77,93.0,1789879.0,2225388.0,1577607.0,2233311.0,870072.0,2429614.0,1582533.0
78,146.0,5685567.0,3891697.0,5022745.0,4457804.0,5042850.0,19482691.0,6305753.0
79,44.0,157892.0,295098.0,347641.0,616307.0,90416.0,149410.0,271241.0
80,14.0,0.0,0.0,178962.0,78928.0,108216.0,841252.0,12389.0
81,110.0,6985709.0,2696716.0,1509481.0,3091991.0,1848323.0,5260817.0,1324052.0
82,131.0,8870442.0,6458147.0,33469824.0,3622946.0,10504095.0,5714129.0,25573415.0
83,122.0,3187286.0,8341225.0,25995660.0,6671909.0,7785172.0,9306760.0,25685861.0
84,103.0,3458082.0,2037305.0,1845034.0,1279651.0,1290784.0,1423802.0,1164703.0
85,34.0,108739.0,23589.0,33781.0,533281.0,354439.0,289425.0,282683.0
86,88.0,158286.0,3190539.0,1637126.0,390963.0,1244222.0,582709.0,711212.0
87,31.0,226333.0,458388.0,196586.0,1190799.0,126470.0,637164.0,1049205.0
88,31.0,525633.0,273220.0,670145.0,188009.0,1542329.0,171971.0,706675.0
89,65.0,254212.0,1240021.0,554452.0,501505.0,1046805.0,145732.0,172764.0
90,73.0,1384752.0,1641297.0,320041.0,9129385.0,1383132.0,2231004.0,1444027.0
91,23.0,35426.0,406884.0,122020.0,230843.0,174055.0,222833.0,295974.0
92,231.0,1580679.0,2591441.0,2182473.0,3623364.0,1771746.0,4519120.0,3336927.0
93,251.0,9321810.0,7468725.0,18091860.0,6701766.0,7942276.0,12791147.0,12016062.0
94,122.0,0.0,0.0,1720394.0,2460021.0,2909543.0,1916969.0,1683105.0
95,67.0,216688.0,118769.0,119760.0,638256.0,267907.0,30883.0,427515.0
96,33.0,103375.0,4945456.0,0.0,390341.0,30341.0,0.0,166040.0
97,48.0,1926446.0,714416.0,250512.0,4070311.0,3330449.0,2226736.0,1374292.0
98,34.0,315143.0,323035.0,544568.0,744721.0,1458983.0,120639.0,1217511.0
99,337.0,7883070.0,10977661.0,40233110.0,14793667.0,9649266.0,19600436.0,3067432.0
100,116.0,518498.0,3192031.0,2560507.0,3028804.0,548094.0,605873.0,626971.0
101,10.0,680229.0,0.0,66659.0,0.0,252840.0,0.0,109132.0
102,63.0,2341718.0,757752.0,721326.0,642141.0,975029.0,2129185.0,1088422.0
103,8.0,35426.0,20602.0,197716.0,0.0,35397.0,0.0,0.0
104,15.0,4920.0,9786.0,28245.0,1314469.0,90921.0,120638.0,16893.0
105,27.0,15449.0,164712.0,644556.0,246364.0,165206.0,50614.0,1166097.0
106,81.0,756149.0,1297972.0,588065.0,1522538.0,485886.0,2379684.0,678463.0
107,159.0,2253043.0,11358513.0,11560898.0,18720250.0,18137472.0,16374019.0,7097482.0
108,115.0,869809.0,596018.0,687477.0,692430.0,467653.0,1442379.0,603095.0
109,8.0,52056.0,2060.0,56378.0,0.0,0.0,19238.0,0.0
110,91.0,480070.0,1459478.0,1698294.0,2219164.0,1564266.0,831599.0,2001207.0
111,8.0,23421.0,10301.0,81346.0,0.0,0.0,10723.0,5406.0
112,169.0,3345415.0,996546.0,4438761.0,4623253.0,7000115.0,7252990.0,7849500.0
113,183.0,5553665.0,3982211.0,2797474.0,6145181.0,4718445.0,3592942.0,1637400.0
114,78.0,81578.0,3613235.0,4297542.0,2093704.0,1140205.0,2840899.0,618863.0
115,37.0,424325.0,421450.0,1998236.0,3561656.0,1620346.0,2111375.0,0.0
116,16.0,87581.0,46251.0,39543.0,105977.0,58659.0,437623.0,11262.0
117,10.0,3530034.0,0.0,85865.0,0.0,68772.0,653056.0,0.0
118,195.0,5797079.0,3403930.0,6330351.0,18987833.0,8709980.0,5429723.0,9935284.0
119,178.0,2262559.0,5003202.0,2591781.0,7668455.0,9291174.0,1290218.0,5865347.0
120,569.0,31537132.0,42876362.0,24921145.0,25443071.0,26082703.0,25954739.0,31180120.0
121,42.0,169257.0,215186.0,55475.0,232263.0,1831407.0,349905.0,522795.0
122,112.0,1137361.0,930662.0,786009.0,1175493.0,3964772.0,2389378.0,3935325.0
123,24.0,47333.0,246913.0,33216.0,153954.0,133499.0,0.0,46626.0
124,165.0,4253640.0,2503306.0,3375937.0,1910749.0,1343082.0,7252313.0,1237995.0
125,36.0,899013.0,356410.0,305048.0,309684.0,335163.0,458533.0,78723.0
126,69.0,2484956.0,10301.0,214664.0,6712463.0,7494460.0,2580813.0,1276209.0
127,42.0,226382.0,376392.0,487172.0,46116.0,99619.0,0.0,2140.0
128,37.0,370203.0,332821.0,173766.0,8868.0,46927.0,169431.0,507930.0
129,12.0,1958.0,163475.0,0.0,0.0,14058.0,34314.0,27030.0
130,186.0,4982784.0,4546996.0,3709939.0,2129204.0,2686085.0,2892938.0,506353.0
131,129.0,352491.0,3136503.0,1549023.0,657146.0,1722341.0,1226005.0,1490901.0
132,37.0,60814.0,66852.0,178057.0,458053.0,370662.0,337626.0,96855.0
133,28.0,83015.0,0.0,1217718.0,34587.0,1782720.0,605186.0,321426.0
134,151.0,5655385.0,4295026.0,6419650.0,3475723.0,3328215.0,3013696.0,2404510.0
135,50.0,63570.0,3117246.0,2324354.0,49485.0,246265.0,509790.0,1500180.0
136,78.0,0.0,1707687.0,2409306.0,1423281.0,325859.0,1633700.0,702824.0
137,127.0,5519121.0,663890.0,1752479.0,1513040.0,1493733.0,3104738.0,2206000.0
138,143.0,1205761.0,2442716.0,2910036.0,4062225.0,2694547.0,3101637.0,914622.0
139,130.0,1134420.0,2779018.0,5643666.0,4107896.0,19216.0,1574753.0,3517924.0
140,29.0,1564107.0,366196.0,717575.0,2057911.0,65738.0,0.0,366081.0
141,1.0,0.0,20602.0,0.0,0.0,0.0,0.0,0.0
143,25.0,84037.0,0.0,43610.0,27048.0,51580.0,63268.0,22749.0
144,38.0,0.0,2127953.0,2776754.0,181003.0,0.0,50507.0,5477347.0
145,62.0,2226474.0,1254562.0,426853.0,1104430.0,2188485.0,3134719.0,2372468.0
146,156.0,3491635.0,2952673.0,3285979.0,2875700.0,8577854.0,2199639.0,1156095.0
147,69.0,2121219.0,2681889.0,1374050.0,2085652.0,2791343.0,4137832.0,1022141.0
148,2.0,0.0,0.0,128798.0,0.0,0.0,0.0,0.0
149,55.0,971203.0,1056404.0,2907055.0,1463812.0,154333.0,427864.0,606587.0
150,76.0,1761676.0,6128167.0,22370.0,2077548.0,810440.0,2973365.0,747028.0
151,146.0,4494623.0,5034144.0,1635646.0,4448220.0,1420037.0,3719371.0,1763450.0
152,140.0,876498.0,893981.0,1278696.0,1770896.0,3505090.0,723796.0,4150931.0
153,36.0,206652.0,145243.0,64173.0,2663240.0,136836.0,761790.0,33787.0
154,15.0,3369651.0,708977.0,0.0,57467.0,0.0,57906.0,2271434.0
155,174.0,1689830.0,3666698.0,2709664.0,2940521.0,2737288.0,3371718.0,2863269.0
156,272.0,12015865.0,5820143.0,8729925.0,8537144.0,21278749.0,18484907.0,2791753.0
157,67.0,311946.0,379073.0,1254087.0,457234.0,242725.0,373387.0,1359246.0
158,8.0,0.0,0.0,161563.0,111342.0,0.0,10616.0,50680.0
159,240.0,4295590.0,12666611.0,5634930.0,11486724.0,6683599.0,16460298.0,5318660.0
160,66.0,895362.0,556741.0,880065.0,131252.0,160806.0,1674063.0,387761.0
161,227.0,21479373.0,3786814.0,6291699.0,29013122.0,3617018.0,8480271.0,4135760.0
162,187.0,2427439.0,9203594.0,2002407.0,10000326.0,5392210.0,7052410.0,4665583.0
163,20.0,62783.0,129585.0,144050.0,0.0,50568.0,12225.0,1236542.0
164,57.0,2132745.0,2030794.0,423960.0,3262148.0,2782638.0,1365335.0,1343490.0
165,195.0,1106411.0,4278209.0,4333347.0,5608441.0,5800435.0,885741.0,136882.0
166,114.0,716235.0,1370558.0,1527930.0,2825902.0,994529.0,1325392.0,2687534.0
167,62.0,2306153.0,2685743.0,1278333.0,4985065.0,753734.0,2841476.0,2492052.0
168,120.0,4034194.0,2650957.0,4203927.0,7323493.0,2493792.0,5205291.0,3766345.0
169,29.0,363706.0,227545.0,7909.0,44341.0,285505.0,284065.0,157672.0
170,19.0,35722.0,149982.0,33894.0,35474.0,88999.0,15013.0,33787.0
171,74.0,1458843.0,544679.0,3189947.0,1175449.0,669811.0,2797629.0,4275064.0
172,23.0,156366.0,374025.0,275820.0,286776.0,231651.0,272213.0,96315.0
173,72.0,81285.0,419144.0,901700.0,120521.0,33547.0,1015612.0,143368.0
175,24.0,103818.0,56552.0,95808.0,15697.0,107608.0,103373.0,176480.0
176,14.0,16729.0,0.0,0.0,0.0,0.0,260299.0,5575.0
177,167.0,1163252.0,8997402.0,2452870.0,6398938.0,9179824.0,4381862.0,1179385.0
178,40.0,1714420.0,454299.0,0.0,1710264.0,600220.0,293284.0,551402.0
179,153.0,2779337.0,1986098.0,1633450.0,1225119.0,4415131.0,2496827.0,1399046.0
180,13.0,80692.0,198652.0,31838.0,22747.0,216936.0,87610.0,12839.0
181,171.0,4165398.0,1560726.0,1633951.0,7466638.0,3283976.0,6875342.0,8079025.0
182,52.0,1023663.0,3473575.0,3244888.0,962838.0,2268675.0,7834200.0,4217829.0
183,26.0,160399.0,20602.0,97616.0,189694.0,60884.0,23162.0,0.0
184,112.0,4587096.0,4252835.0,1540234.0,4759339.0,20025.0,1747433.0,204105.0
185,17.0,0.0,14833.0,21240.0,231358.0,32464.0,19184.0,137626.0
186,79.0,1250193.0,3703017.0,1002344.0,2763922.0,997956.0,2181088.0,1567104.0
187,99.0,3505629.0,1482334.0,1191981.0,945641.0,382991.0,1224872.0,906760.0
188,12.0,14761.0,0.0,62139.0,52677.0,0.0,10723.0,77710.0
189,76.0,783701.0,2521311.0,5068377.0,1893343.0,372554.0,1716924.0,2507628.0
190,78.0,1681750.0,1146693.0,1096366.0,1163529.0,4215558.0,4159513.0,602543.0
191,234.0,6159556.0,5973328.0,7126852.0,9283444.0,2758193.0,2706062.0,12915808.0
192,65.0,234402.0,1532667.0,197265.0,162132.0,295924.0,625572.0,181548.0
193,41.0,59830.0,106923.0,214211.0,34320.0,13856.0,116670.0,131768.0
194,151.0,752900.0,671923.0,376113.0,682509.0,438325.0,665493.0,418505.0
195,96.0,540838.0,284920.0,421758.0,364934.0,79289.0,150330.0,191886.0
196,161.0,1060703.0,4141336.0,1230204.0,2704541.0,2385863.0,2091075.0,744999.0
197,231.0,1560643.0,3991928.0,1466989.0,7983715.0,2901881.0,24743737.0,23628327.0
198,108.0,205294.0,909874.0,383344.0,1121534.0,134813.0,1290565.0,489345.0
199,46.0,227907.0,502681.0,297592.0,2012763.0,335569.0,837391.0,85368.0
200,16.0,154497.0,165123.0,65529.0,666900.0,0.0,1306218.0,0.0
201,187.0,9952715.0,6761736.0,8241838.0,9893057.0,2793560.0,4258384.0,4940351.0
202,206.0,4222787.0,7860774.0,4873890.0,8404224.0,5567864.0,5389560.0,8434184.0
203,85.0,209014.0,124432.0,158614.0,90015.0,167379.0,238811.0,151479.0
204,237.0,1569963.0,1911328.0,1885309.0,2383283.0,985972.0,1379782.0,1784847.0
205,41.0,2440311.0,1568616.0,496042.0,2208489.0,1309251.0,266530.0,330435.0
206,62.0,399528.0,70046.0,917776.0,386031.0,84853.0,36009.0,394947.0
207,22.0,78724.0,32139.0,96260.0,24831.0,0.0,75706.0,96404.0
208,228.0,767071.0,6697316.0,12769565.0,7996690.0,6410284.0,1201236.0,456236.0
209,125.0,3139314.0,1108643.0,1237988.0,2002920.0,360043.0,2668425.0,1297270.0
210,30.0,34540.0,99919.0,119873.0,45939.0,96888.0,16943.0,141455.0
211,38.0,324050.0,0.0,486608.0,205569.0,214711.0,1051119.0,3121626.0
212,27.0,1020171.0,274734.0,429418.0,204238.0,0.0,934008.0,450491.0
213,71.0,269385.0,130614.0,26889.0,466388.0,693742.0,1039203.0,975879.0
214,55.0,704042.0,1015203.0,128572.0,62078.0,673918.0,2784868.0,595774.0
215,123.0,113954.0,415259.0,274962.0,407589.0,347399.0,1005918.0,808509.0
216,34.0,83644.0,386282.0,235001.0,53033.0,381110.0,128037.0,188306.0
217,48.0,506935.0,294605.0,176477.0,479936.0,465872.0,193150.0,203679.0
218,233.0,8511251.0,18231045.0,10153431.0,16967925.0,6576043.0,9072085.0,18536738.0
219,115.0,2768136.0,5373290.0,1240305.0,7711680.0,2346187.0,5450588.0,2733392.0
220,57.0,71344.0,355793.0,85978.0,52945.0,15676.0,332745.0,1128707.0
221,53.0,262939.0,64278.0,67223.0,685881.0,378450.0,44930.0,170622.0
222,191.0,7973192.0,4095479.0,5859143.0,4356715.0,7358581.0,3493151.0,15398892.0
223,49.0,1990548.0,848895.0,292892.0,1505893.0,6653322.0,1641036.0,1501320.0
224,210.0,26794566.0,8318122.0,14620647.0,10923284.0,7941005.0,10162101.0,9296016.0
225,241.0,2923922.0,9470811.0,4613211.0,9509125.0,6944130.0,7089372.0,2411167.0
226,16.0,34638.0,288012.0,53960.0,140103.0,0.0,872341.0,28144.0
227,10.0,0.0,36156.0,5626.0,95334.0,13148.0,10616.0,0.0
228,37.0,121432.0,19572.0,224492.0,0.0,18609.0,66915.0,207903.0
229,108.0,5386690.0,8984302.0,2235303.0,5518515.0,6045396.0,6246073.0,12978280.0
