고객번호,화장품구매횟수,화장품1,화장품2,화장품3,화장품4,화장품5,화장품6
1,38.0,1126989.0,560778.0,758215.0,387547.0,528434.0,83643.0
2,59.0,5366606.0,2064189.0,2799044.0,1489841.0,3730632.0,3821403.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,32720.0,0.0,362838.0,225789.0,80909.0,134472.0
6,42.0,437805.0,335294.0,618118.0,756739.0,703398.0,754177.0
7,6.0,235582.0,99816.0,0.0,0.0,0.0,441107.0
8,35.0,2122116.0,1036113.0,2463264.0,1973121.0,1151025.0,1515003.0
9,11.0,0.0,118460.0,1021166.0,44342.0,1062835.0,1605927.0
10,15.0,269828.0,0.0,281323.0,0.0,80707.0,205460.0
11,45.0,2265149.0,1445365.0,2275039.0,826061.0,1214437.0,2263603.0
12,3.0,0.0,0.0,31635.0,0.0,19317.0,0.0
13,28.0,78528.0,232903.0,276102.0,259178.0,82829.0,472634.0
14,9.0,33359.0,35693.0,23726.0,19067.0,0.0,0.0
15,17.0,237453.0,140968.0,324821.0,67772.0,88241.0,20374.0
16,6.0,0.0,0.0,22596.0,201933.0,92236.0,48899.0
17,16.0,81479.0,2732716.0,89481.0,1139407.0,0.0,79139.0
18,40.0,667190.0,1538795.0,544682.0,165839.0,483427.0,244494.0
19,16.0,1939249.0,738417.0,1171555.0,1553843.0,0.0,2367534.0
20,7.0,153316.0,0.0,0.0,0.0,0.0,209857.0
21,13.0,57076.0,17305.0,112303.0,46559.0,268313.0,102408.0
22,26.0,2973225.0,5168097.0,0.0,6396217.0,2446673.0,3867557.0
23,31.0,1537833.0,685007.0,1471519.0,2029569.0,2782394.0,2960412.0
24,5.0,30407.0,0.0,69596.0,0.0,55625.0,6434.0
25,20.0,219690.0,126700.0,10169.0,0.0,134814.0,619438.0
26,25.0,725446.0,140916.0,713192.0,196523.0,336732.0,991218.0
27,23.0,1005213.0,888449.0,317250.0,1402353.0,1750354.0,0.0
28,10.0,2952.0,7416.0,18190.0,163178.0,162828.0,108414.0
29,33.0,1225099.0,1579946.0,1404069.0,35385.0,688582.0,892670.0
30,28.0,1430326.0,193759.0,2278710.0,1448071.0,4239556.0,1617733.0
31,6.0,0.0,0.0,22596.0,114048.0,38432.0,6434.0
32,28.0,324699.0,36053.0,840713.0,320946.0,318475.0,944624.0
33,30.0,122091.0,141143.0,40786.0,9046.0,35397.0,19195.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,8.0,0.0,921825.0,0.0,0.0,507853.0,188517.0
36,12.0,0.0,237579.0,571592.0,1496323.0,0.0,798818.0
37,37.0,32720.0,337611.0,1617885.0,2880886.0,959272.0,3399105.0
38,25.0,12399.0,111579.0,83041.0,23945.0,9708.0,205869.0
39,14.0,0.0,9159526.0,3485685.0,729600.0,365100.0,2009942.0
40,7.0,279472.0,17141.0,246863.0,20131.0,0.0,264868.0
41,2.0,0.0,0.0,9264.0,0.0,0.0,8793.0
42,71.0,101063.0,198085.0,201130.0,46294.0,176351.0,175029.0
43,17.0,67054.0,82057.0,18800.0,12611.0,13552.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,18.0,1376300.0,0.0,442998.0,3293709.0,1410438.0,678470.0
46,12.0,1329360.0,0.0,428988.0,1112181.0,390131.0,508397.0
47,7.0,24090.0,14936.0,5536.0,0.0,130465.0,0.0
48,24.0,2696853.0,2886322.0,4162496.0,3572575.0,4806372.0,3444680.0
49,17.0,408235.0,38165.0,461527.0,442310.0,685800.0,487539.0
50,22.0,374039.0,14936.0,125409.0,161759.0,72151.0,419499.0
51,19.0,52155.0,108622.0,38979.0,335624.0,1820.0,79460.0
52,16.0,300088.0,526477.0,758836.0,452419.0,282472.0,1330454.0
53,9.0,0.0,72415.0,153485.0,86245.0,0.0,503250.0
54,16.0,303581.0,280853.0,183141.0,142071.0,142803.0,190501.0
55,36.0,124847.0,126700.0,292642.0,176569.0,264672.0,100587.0
56,4.0,0.0,0.0,0.0,0.0,0.0,892026.0
57,14.0,30289.0,107953.0,0.0,122260.0,0.0,30026.0
58,2.0,0.0,165072.0,0.0,0.0,0.0,0.0
59,10.0,373941.0,298468.0,7909.0,165839.0,216178.0,119029.0
60,22.0,0.0,982795.0,339541.0,1326928.0,858622.0,885432.0
61,41.0,813881.0,14936.0,179765.0,242018.0,233197.0,512043.0
62,4.0,3149.0,45324.0,0.0,5232.0,1972.0,0.0
63,4.0,0.0,30903.0,0.0,44342.0,17193.0,64340.0
64,10.0,49105.0,76845.0,178397.0,5605.0,10012.0,0.0
65,7.0,0.0,38165.0,0.0,106952.0,0.0,162567.0
66,7.0,45267.0,46354.0,0.0,79816.0,2832.0,64340.0
67,30.0,157350.0,108469.0,132188.0,115732.0,205528.0,96114.0
68,14.0,306434.0,37495.0,185063.0,79816.0,56029.0,14477.0
69,26.0,9998.0,13020.0,43691.0,13125.0,11580.0,54594.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,12.0,16631.0,47229.0,10055.0,8780.0,36610.0,0.0
72,17.0,0.0,27998.0,18641.0,20388.0,39029.0,9866.0
73,34.0,162369.0,955355.0,1652459.0,869721.0,1963547.0,251624.0
74,17.0,84874.0,649778.0,617666.0,174396.0,0.0,88736.0
75,11.0,63570.0,97447.0,91108.0,104009.0,54471.0,81498.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,28.0,835709.0,650345.0,476757.0,221576.0,1455596.0,436358.0
